po_id,project_id,po_type,vendor_id,description,issue_date,delivery_date,amount_aed,status,approved_by,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
LPO-PRJ-001-0011,PRJ-001,Material,SUP-051,Field top chance accept skin determine.,2025-01-09,2025-03-31,126745,Draft,Kimberly Rodriguez,,2025-01-09T17:35:00,2025-01-09T17:35:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0012,PRJ-001,Subcontract,CON-013,Police available particularly too public loss account.,2024-06-19,2024-09-16,355517,Invoiced,Sherri Wilson,,2024-06-19T14:11:00,2024-06-19T14:11:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0013,PRJ-001,Subcontract,CON-025,Blue herself child attorney during event nature.,2024-02-15,2024-05-04,289969,Paid,Joshua Hutchinson,,2024-02-15T10:46:00,2024-02-15T10:46:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0014,PRJ-001,Subcontract,CON-022,Although simply heavy together large point.,2025-12-27,2026-01-07,369254,Draft,Stephen Wilkins,,2025-12-27T12:27:00,2025-12-27T12:27:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0015,PRJ-001,Material,SUP-044,Building sort ask pretty.,2025-04-17,2025-06-20,469612,Issued,Sandra Brown,,2025-04-17T17:12:00,2025-04-17T17:12:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0016,PRJ-001,Material,SUP-016,Far address cause maintain catch.,2025-05-19,2025-07-17,389648,Draft,James Sanders,,2025-05-19T08:34:00,2025-05-19T08:34:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0017,PRJ-001,Material,SUP-009,Poor pick network strong moment him culture.,2024-08-04,2024-10-24,61640,Issued,James Wallace,,2024-08-04T13:43:00,2024-08-04T13:43:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0018,PRJ-001,Subcontract,CON-008,Because east second learn.,2025-08-01,2025-09-29,315708,Delivered,Kyle Hancock,,2025-08-01T15:02:00,2025-08-01T15:02:00,system@alrashdeng.ae,1,True,
LPO-PRJ-001-0019,PRJ-001,Material,SUP-047,Yeah everybody entire with control return factor.,2025-11-25,2025-12-11,273469,Delivered,Amanda Bennett,,2025-11-25T07:18:00,2025-11-25T07:18:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0001,PRJ-002,Material,SUP-063,Room thousand example cup safe.,2023-08-22,2023-09-28,190693,Draft,Monica Wiggins,,2023-08-22T10:51:00,2023-08-22T10:51:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0002,PRJ-002,Subcontract,CON-068,Feel right real risk strategy traditional the.,2021-07-29,2021-09-12,312856,Delivered,Duane Wells,,2021-07-29T11:04:00,2021-07-29T11:04:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0003,PRJ-002,Material,SUP-024,Fall theory card meet operation song class figure.,2021-12-24,2022-01-21,280974,Delivered,Judy Elliott,,2021-12-24T12:26:00,2021-12-24T12:26:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0004,PRJ-002,Material,SUP-029,Condition understand explain general far road visit.,2023-07-11,2023-08-16,226448,Delivered,Alex Rodriguez,,2023-07-11T17:00:00,2023-07-11T17:00:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0005,PRJ-002,Material,SUP-024,Human body stop list money song he not.,2022-11-05,2022-12-10,180954,Issued,Amanda Reed,,2022-11-05T08:31:00,2022-11-05T08:31:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0006,PRJ-002,Material,SUP-018,Herself value with issue computer size down.,2022-12-29,2023-01-18,66759,Invoiced,David Noble,,2022-12-29T09:34:00,2022-12-29T09:34:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0007,PRJ-002,Material,SUP-032,Second pick campaign.,2023-04-15,2023-04-25,431082,Paid,Gregory Lee,,2023-04-15T12:04:00,2023-04-15T12:04:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0008,PRJ-002,Subcontract,CON-059,Term hard really lawyer.,2022-03-06,2022-03-23,325042,Draft,Mary Robinson,,2022-03-06T12:57:00,2022-03-06T12:57:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0009,PRJ-002,Material,SUP-012,Citizen gun rest majority allow determine.,2021-10-28,2021-12-07,246042,Paid,Robert Brown,,2021-10-28T16:26:00,2021-10-28T16:26:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0010,PRJ-002,Material,SUP-043,Down deal newspaper in through strategy place.,2022-03-19,2022-05-13,78709,Issued,Brandon Patterson,,2022-03-19T10:02:00,2022-03-19T10:02:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0011,PRJ-002,Material,SUP-059,Network though little leader attention.,2022-02-13,2022-05-04,393429,Paid,Michael Franklin,,2022-02-13T14:25:00,2022-02-13T14:25:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0012,PRJ-002,Material,SUP-068,Race base argue glass start Mrs side.,2022-03-17,2022-05-06,385696,Delivered,Erin Moore DVM,,2022-03-17T10:16:00,2022-03-17T10:16:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0013,PRJ-002,Material,SUP-050,Skill current single talk involve short.,2021-11-27,2022-01-08,175316,Invoiced,Kyle Thomas,,2021-11-27T09:39:00,2021-11-27T09:39:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0014,PRJ-002,Material,SUP-052,Product region next check reason loss bill.,2022-08-27,2022-09-29,458753,Delivered,Matthew Tyler,,2022-08-27T10:15:00,2022-08-27T10:15:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0015,PRJ-002,Subcontract,CON-002,Keep want war already himself pattern billion value.,2021-07-16,2021-07-28,121773,Paid,Nicholas Edwards,,2021-07-16T07:17:00,2021-07-16T07:17:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0016,PRJ-002,Material,SUP-049,Military north every bad experience occur.,2023-05-01,2023-06-28,430835,Issued,Ralph Miller,,2023-05-01T10:18:00,2023-05-01T10:18:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0017,PRJ-002,Material,SUP-023,Fish who color security by military hotel.,2022-02-22,2022-04-16,134735,Paid,Rachel Baldwin,,2022-02-22T17:53:00,2022-02-22T17:53:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0018,PRJ-002,Subcontract,CON-016,Economic discuss hard business foot commercial.,2023-02-05,2023-02-28,337093,Invoiced,Ann Fuentes,,2023-02-05T17:51:00,2023-02-05T17:51:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0019,PRJ-002,Subcontract,CON-037,Receive artist key speech son.,2022-04-27,2022-05-05,399275,Draft,Jessica Wong,,2022-04-27T08:05:00,2022-04-27T08:05:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0020,PRJ-002,Subcontract,CON-045,Race well film thank ahead.,2022-01-29,2022-02-22,32032,Delivered,Eduardo Rogers,,2022-01-29T17:46:00,2022-01-29T17:46:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0021,PRJ-002,Material,SUP-069,Scene light fact possible fall information subject.,2022-12-07,2023-02-15,389714,Paid,Hannah Garcia,,2022-12-07T11:06:00,2022-12-07T11:06:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0022,PRJ-002,Material,SUP-045,Each serious those develop size threat.,2021-11-25,2022-01-24,438162,Delivered,Christina Cook,,2021-11-25T17:15:00,2021-11-25T17:15:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0023,PRJ-002,Material,SUP-064,Reach sport identify argue yourself cost trade.,2023-01-24,2023-02-04,336180,Delivered,Jesus Hinton,,2023-01-24T10:40:00,2023-01-24T10:40:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0024,PRJ-002,Material,SUP-025,View offer purpose.,2022-05-20,2022-07-24,374028,Delivered,Timothy Joseph,,2022-05-20T08:16:00,2022-05-20T08:16:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0025,PRJ-002,Subcontract,CON-031,Inside pattern head.,2022-05-19,2022-07-06,189299,Paid,Nancy Taylor,,2022-05-19T11:27:00,2022-05-19T11:27:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0026,PRJ-002,Material,SUP-017,Market tend possible employee Congress.,2023-02-16,2023-03-14,362060,Invoiced,Michael Monroe,,2023-02-16T11:29:00,2023-02-16T11:29:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0027,PRJ-002,Material,SUP-052,Minute method decision on sign anyone.,2021-11-13,2022-01-08,23653,Draft,Austin Keller,,2021-11-13T16:31:00,2021-11-13T16:31:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0028,PRJ-002,Material,SUP-074,Major hold describe thought business democratic quality.,2021-10-11,2021-10-18,306753,Draft,Brianna Miller,,2021-10-11T17:09:00,2021-10-11T17:09:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0029,PRJ-002,Material,SUP-078,Office detail subject black particular long page benefit.,2021-08-24,2021-09-28,200833,Invoiced,Brent Warren,,2021-08-24T08:23:00,2021-08-24T08:23:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0030,PRJ-002,Subcontract,CON-013,Lead season bill allow mind require.,2021-08-06,2021-10-21,417210,Delivered,Emma Martinez,,2021-08-06T16:52:00,2021-08-06T16:52:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0031,PRJ-002,Material,SUP-008,Others beat campaign million different.,2022-05-07,2022-05-21,167962,Invoiced,Susan Benitez,,2022-05-07T16:51:00,2022-05-07T16:51:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0032,PRJ-002,Material,SUP-056,Front see maintain majority back base.,2022-04-30,2022-05-07,294447,Delivered,Regina Santana,,2022-04-30T13:36:00,2022-04-30T13:36:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0033,PRJ-002,Material,SUP-035,Dream case will season.,2022-09-12,2022-12-04,455173,Delivered,Jessica White,,2022-09-12T13:47:00,2022-09-12T13:47:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0034,PRJ-002,Material,SUP-073,Pattern weight institution have behavior million.,2023-03-19,2023-05-24,247422,Delivered,Jeffrey Rich,,2023-03-19T12:27:00,2023-03-19T12:27:00,system@alrashdeng.ae,1,True,
LPO-PRJ-002-0035,PRJ-002,Material,SUP-009,Book Democrat body college believe form.,2022-10-28,2022-11-24,133931,Delivered,Cheyenne Jackson,,2022-10-28T07:02:00,2022-10-28T07:02:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0001,PRJ-003,Material,SUP-042,Expert doctor free could exist.,2021-11-01,2021-11-25,98713,Invoiced,John Frey,,2021-11-01T07:56:00,2021-11-01T07:56:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0002,PRJ-003,Subcontract,CON-081,Kid knowledge population fast record fight education.,2022-12-03,2022-12-21,192335,Draft,Jose Oneal,,2022-12-03T14:27:00,2022-12-03T14:27:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0003,PRJ-003,Subcontract,CON-092,Pass newspaper computer serve thus.,2024-11-13,2024-12-24,94476,Draft,Katrina Ayers,,2024-11-13T08:09:00,2024-11-13T08:09:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0004,PRJ-003,Material,SUP-059,Start tonight goal design assume.,2024-09-30,2024-10-24,412381,Issued,Eric Ortega,,2024-09-30T07:37:00,2024-09-30T07:37:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0005,PRJ-003,Material,SUP-033,Relate indeed really people turn ready despite.,2022-10-12,2022-11-10,103267,Draft,Derek Mendoza MD,,2022-10-12T15:59:00,2022-10-12T15:59:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0006,PRJ-003,Subcontract,CON-011,Close season political million.,2022-04-17,2022-07-09,292074,Paid,Stephanie Bowman,,2022-04-17T12:29:00,2022-04-17T12:29:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0007,PRJ-003,Material,SUP-066,Agent happy learn today.,2022-05-30,2022-08-05,115627,Delivered,Misty Mccann,,2022-05-30T08:42:00,2022-05-30T08:42:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0008,PRJ-003,Material,SUP-058,Stuff happen share we significant theory.,2024-09-13,2024-10-09,114012,Draft,Lynn Camacho,,2024-09-13T14:14:00,2024-09-13T14:14:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0009,PRJ-003,Material,SUP-013,Degree heart talk main eight.,2024-07-11,2024-10-07,116117,Delivered,Amanda Moss,,2024-07-11T08:32:00,2024-07-11T08:32:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0010,PRJ-003,Material,SUP-033,Edge one top see seven mind worry.,2024-11-10,2025-01-29,265767,Invoiced,Adam Lambert,,2024-11-10T16:23:00,2024-11-10T16:23:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0011,PRJ-003,Subcontract,CON-088,Performance early say.,2024-08-07,2024-09-29,480904,Issued,Karen Sutton,,2024-08-07T12:34:00,2024-08-07T12:34:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0012,PRJ-003,Material,SUP-032,Cup role career where apply bag action.,2024-08-13,2024-09-29,174668,Paid,Douglas Graham,,2024-08-13T16:36:00,2024-08-13T16:36:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0013,PRJ-003,Material,SUP-041,Usually little so marriage town performance moment.,2022-09-25,2022-11-05,60247,Delivered,Elizabeth Nash,,2022-09-25T10:26:00,2022-09-25T10:26:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0014,PRJ-003,Material,SUP-037,People these let ok be factor out.,2023-08-18,2023-09-24,292101,Delivered,Victor Kirby,,2023-08-18T09:56:00,2023-08-18T09:56:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0015,PRJ-003,Subcontract,CON-001,Approach heart remain vote son police number great.,2022-12-04,2023-02-18,273783,Delivered,Scott Estes,,2022-12-04T15:48:00,2022-12-04T15:48:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0016,PRJ-003,Material,SUP-005,Way seven provide while hotel.,2023-12-15,2024-02-14,451225,Delivered,Kimberly Keller,,2023-12-15T17:07:00,2023-12-15T17:07:00,system@alrashdeng.ae,1,True,
LPO-PRJ-003-0017,PRJ-003,Material,SUP-039,Feeling adult director walk vote former political.,2023-07-25,2023-09-08,391987,Issued,Sherry Moon MD,,2023-07-25T12:47:00,2023-07-25T12:47:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0001,PRJ-004,Material,SUP-007,Always kitchen imagine such.,2021-06-10,2021-08-28,459389,Paid,Mrs. Gail Combs MD,,2021-06-10T13:37:00,2021-06-10T13:37:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0002,PRJ-004,Subcontract,CON-100,Apply Republican piece now television audience.,2021-11-24,2022-02-02,179041,Paid,Devin Villegas,,2021-11-24T14:36:00,2021-11-24T14:36:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0003,PRJ-004,Material,SUP-013,Clearly responsibility local feeling fish miss interest.,2022-04-28,2022-06-15,191373,Draft,Benjamin Neal,,2022-04-28T15:34:00,2022-04-28T15:34:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0004,PRJ-004,Subcontract,CON-055,Make charge wear vote cultural feel.,2022-03-20,2022-04-21,305318,Delivered,Paul Kaiser,,2022-03-20T15:18:00,2022-03-20T15:18:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0005,PRJ-004,Material,SUP-045,General culture professor mention.,2022-06-20,2022-06-27,333960,Delivered,Shawn Hansen,,2022-06-20T17:41:00,2022-06-20T17:41:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0006,PRJ-004,Subcontract,CON-078,Test require guy woman at thank treatment.,2022-08-27,2022-10-22,185346,Issued,Ralph Ray,,2022-08-27T14:02:00,2022-08-27T14:02:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0007,PRJ-004,Material,SUP-033,Win ahead compare.,2021-05-09,2021-07-15,220435,Paid,Michael Johnson,,2021-05-09T15:56:00,2021-05-09T15:56:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0008,PRJ-004,Subcontract,CON-071,Contain during make eat back.,2021-12-12,2022-02-02,455911,Delivered,Mark Collins,,2021-12-12T15:15:00,2021-12-12T15:15:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0009,PRJ-004,Material,SUP-007,Key soon occur lot step class avoid lose.,2021-10-06,2021-11-27,56259,Invoiced,Lisa Ho,,2021-10-06T10:17:00,2021-10-06T10:17:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0010,PRJ-004,Material,SUP-004,Road which politics concern along.,2022-08-15,2022-09-14,245009,Delivered,Chad Stafford,,2022-08-15T12:16:00,2022-08-15T12:16:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0011,PRJ-004,Material,SUP-007,Ball future beautiful lose.,2022-03-05,2022-03-27,483034,Delivered,Alejandro Fitzpatrick,,2022-03-05T09:56:00,2022-03-05T09:56:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0012,PRJ-004,Material,SUP-044,Door different event art term value.,2022-05-29,2022-06-07,130980,Paid,Rose Dean,,2022-05-29T10:27:00,2022-05-29T10:27:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0013,PRJ-004,Material,SUP-049,Begin how commercial begin go appear.,2021-12-21,2022-03-07,122922,Delivered,Timothy Schmidt,,2021-12-21T07:09:00,2021-12-21T07:09:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0014,PRJ-004,Material,SUP-016,Job structure type degree memory recent large.,2022-06-01,2022-06-11,145942,Delivered,Stephen Ford,,2022-06-01T11:48:00,2022-06-01T11:48:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0015,PRJ-004,Material,SUP-006,Opportunity whose take pretty painting beat here.,2021-07-29,2021-10-24,333611,Paid,April Huffman,,2021-07-29T11:24:00,2021-07-29T11:24:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0016,PRJ-004,Subcontract,CON-047,Ability commercial just.,2022-11-23,2022-12-24,480411,Delivered,Patricia Doyle,,2022-11-23T17:37:00,2022-11-23T17:37:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0017,PRJ-004,Subcontract,CON-080,Kind wrong face cultural.,2021-10-14,2021-12-14,220382,Delivered,Alexandra Obrien,,2021-10-14T10:19:00,2021-10-14T10:19:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0018,PRJ-004,Material,SUP-054,Information situation expert.,2022-02-06,2022-04-02,459025,Draft,Gina Elliott,,2022-02-06T12:47:00,2022-02-06T12:47:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0019,PRJ-004,Material,SUP-058,Probably talk increase population.,2022-06-30,2022-07-31,450527,Paid,Elizabeth Curtis,,2022-06-30T16:02:00,2022-06-30T16:02:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0020,PRJ-004,Subcontract,CON-044,Own cover condition decide ok.,2022-01-30,2022-04-28,160071,Issued,Juan Huynh,,2022-01-30T13:11:00,2022-01-30T13:11:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0021,PRJ-004,Material,SUP-025,Possible debate happen.,2022-02-08,2022-02-25,319857,Paid,Nancy Henry,,2022-02-08T10:04:00,2022-02-08T10:04:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0022,PRJ-004,Material,SUP-010,Foreign relate today thought Democrat.,2021-11-20,2021-12-02,296144,Draft,Debbie Ashley,,2021-11-20T08:43:00,2021-11-20T08:43:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0023,PRJ-004,Material,SUP-006,Treat born can.,2021-10-03,2021-11-06,289533,Delivered,William Wood,,2021-10-03T14:12:00,2021-10-03T14:12:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0024,PRJ-004,Material,SUP-071,Clear hotel sell realize.,2021-09-16,2021-09-26,470667,Draft,Philip Armstrong,,2021-09-16T14:47:00,2021-09-16T14:47:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0025,PRJ-004,Material,SUP-072,Have school popular discussion expert now.,2022-08-29,2022-11-20,416198,Invoiced,Jessica Thompson,,2022-08-29T08:54:00,2022-08-29T08:54:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0026,PRJ-004,Material,SUP-052,Man investment cut new south.,2022-08-11,2022-10-27,411286,Delivered,Amy Nixon,,2022-08-11T07:44:00,2022-08-11T07:44:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0027,PRJ-004,Material,SUP-050,Effort moment suddenly month.,2021-05-20,2021-07-21,272040,Paid,Denise Fuller,,2021-05-20T15:19:00,2021-05-20T15:19:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0028,PRJ-004,Material,SUP-026,Our study partner owner price.,2022-05-12,2022-05-30,232300,Delivered,Rachel Walker,,2022-05-12T07:38:00,2022-05-12T07:38:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0029,PRJ-004,Material,SUP-029,Early cultural cultural land involve.,2022-08-04,2022-10-18,39617,Paid,Kristen Hogan,,2022-08-04T09:31:00,2022-08-04T09:31:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0030,PRJ-004,Subcontract,CON-038,Change mention where decision that its Mrs.,2022-02-21,2022-05-16,396187,Draft,Jamie White,,2022-02-21T08:54:00,2022-02-21T08:54:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0031,PRJ-004,Material,SUP-007,Also space play street place dog.,2021-07-08,2021-08-30,164847,Issued,Katherine Oconnor,,2021-07-08T16:14:00,2021-07-08T16:14:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0032,PRJ-004,Subcontract,CON-080,Often mission heavy might.,2021-11-15,2022-01-27,320268,Invoiced,Linda Johnson,,2021-11-15T11:30:00,2021-11-15T11:30:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0033,PRJ-004,Material,SUP-066,Upon computer training sister right.,2021-08-10,2021-09-22,135096,Invoiced,James Moore,,2021-08-10T12:52:00,2021-08-10T12:52:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0034,PRJ-004,Subcontract,CON-063,Production its movement together last key.,2022-06-19,2022-07-18,197686,Paid,Jill Ayala,,2022-06-19T15:00:00,2022-06-19T15:00:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0035,PRJ-004,Subcontract,CON-044,Provide director own away yet work.,2022-09-08,2022-10-14,354255,Delivered,Matthew Kim,,2022-09-08T15:18:00,2022-09-08T15:18:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0036,PRJ-004,Material,SUP-020,Wear off notice describe gun realize exactly.,2022-10-10,2022-10-19,23493,Issued,Brooke Scott,,2022-10-10T09:53:00,2022-10-10T09:53:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0037,PRJ-004,Subcontract,CON-021,Remember drop evidence new.,2021-12-02,2021-12-10,63537,Paid,Cole Bell,,2021-12-02T16:08:00,2021-12-02T16:08:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0038,PRJ-004,Material,SUP-069,Sister book movie important hour.,2022-02-24,2022-04-23,36741,Draft,Kevin Smith,,2022-02-24T14:14:00,2022-02-24T14:14:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0039,PRJ-004,Material,SUP-042,Will consumer level summer outside give.,2021-09-03,2021-10-26,195562,Delivered,Rhonda Guerrero,,2021-09-03T07:22:00,2021-09-03T07:22:00,system@alrashdeng.ae,1,True,
LPO-PRJ-004-0040,PRJ-004,Subcontract,CON-070,Action cause up.,2022-02-22,2022-03-12,437771,Paid,Sarah Romero,,2022-02-22T14:54:00,2022-02-22T14:54:00,system@alrashdeng.ae,1,True,
LPO-PRJ-005-0001,PRJ-005,Material,SUP-012,Modern their across often speech tree.,2021-02-22,2021-04-08,88476,Delivered,Steven Cantu,,2021-02-22T13:08:00,2021-02-22T13:08:00,system@alrashdeng.ae,1,True,
LPO-PRJ-005-0002,PRJ-005,Subcontract,CON-030,Population theory fine administration force.,2020-12-19,2021-02-16,264247,Delivered,Lisa Collins,,2020-12-19T07:52:00,2020-12-19T07:52:00,system@alrashdeng.ae,1,True,
LPO-PRJ-005-0003,PRJ-005,Subcontract,CON-099,General parent hear difficult expert.,2021-03-13,2021-03-31,50519,Draft,Cynthia James,,2021-03-13T15:02:00,2021-03-13T15:02:00,system@alrashdeng.ae,1,True,
LPO-PRJ-005-0004,PRJ-005,Subcontract,CON-023,Hot respond maintain return off player lead.,2020-08-18,2020-11-15,459543,Delivered,Charles Patterson,,2020-08-18T11:39:00,2020-08-18T11:39:00,system@alrashdeng.ae,1,True,
LPO-PRJ-005-0005,PRJ-005,Subcontract,CON-042,Room be wrong various down alone.,2021-05-04,2021-07-25,254857,Delivered,Adam Stevens,,2021-05-04T15:37:00,2021-05-04T15:37:00,system@alrashdeng.ae,1,True,
LPO-PRJ-005-0006,PRJ-005,Material,SUP-052,Task live information their.,2020-09-18,2020-10-29,78220,Delivered,Julie Orozco MD,,2020-09-18T09:31:00,2020-09-18T09:31:00,system@alrashdeng.ae,1,True,
LPO-PRJ-005-0007,PRJ-005,Material,SUP-028,Reality today board group that help organization.,2020-12-17,2021-01-04,237337,Delivered,Timothy Black,,2020-12-17T16:59:00,2020-12-17T16:59:00,system@alrashdeng.ae,1,True,
