inspection_id,project_id,inspection_type,inspection_date,inspector_id,location,result,defects_found,corrective_action,reinspection_date,remarks,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
INS-911DDC79,PRJ-001,Concrete Pour,2024-08-17,EMP-0083,"Level 4, Zone B",Passed,0,,,,,2024-08-17T14:43:00,2024-08-17T14:43:00,system@alrashdeng.ae,1,True,
INS-2B2BF58C,PRJ-001,Formwork,2024-10-04,EMP-0078,"Level 22, Zone C",Conditional,0,Finish size Republican.,,Everybody growth quickly former lose knowledge.,,2024-10-04T10:00:00,2024-10-04T10:00:00,system@alrashdeng.ae,1,True,
INS-2CFF45F8,PRJ-001,Concrete Pour,2025-09-01,EMP-0078,"Level 35, Zone D",Passed,0,,,,,2025-09-01T11:47:00,2025-09-01T11:47:00,system@alrashdeng.ae,1,True,
INS-DBD4A86D,PRJ-001,Structural,2025-05-19,EMP-0092,"Level 15, Zone A",Conditional,4,Through cultural safe phone.,,,,2025-05-19T15:33:00,2025-05-19T15:33:00,system@alrashdeng.ae,1,True,
INS-81D67019,PRJ-001,Rebar Placement,2025-07-25,EMP-0081,"Level 16, Zone A",Failed,3,All old if operation trade necessary myself your.,2025-07-28,,,2025-07-25T08:24:00,2025-07-25T08:24:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-647AC591,PRJ-001,Formwork,2024-12-30,EMP-0085,"Level 8, Zone D",Failed,1,Through operation tax card may.,2025-01-09,However maybe production summer.,,2024-12-30T16:43:00,2024-12-30T16:43:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-C1D841D3,PRJ-001,Final Handover,2025-09-27,EMP-0097,"Level 2, Zone D",Failed,0,Cell city not not the certainly rule.,2025-10-08,American seven discussion enough doctor protect.,,2025-09-27T12:19:00,2025-09-27T12:19:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-783C91EB,PRJ-001,Rebar Placement,2025-02-05,EMP-0095,"Level 27, Zone D",Failed,2,Thing always possible billion why plant event.,2025-02-14,,,2025-02-05T07:01:00,2025-02-05T07:01:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-2C816BF0,PRJ-001,Waterproofing,2025-08-05,EMP-0085,"Level 15, Zone D",Failed,0,President half president structure might heavy.,2025-08-09,Might good test main lot.,,2025-08-05T10:28:00,2025-08-05T10:28:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-709D338B,PRJ-001,Rebar Placement,2025-04-16,EMP-0094,"Level 5, Zone C",Passed,0,,,,,2025-04-16T16:35:00,2025-04-16T16:35:00,system@alrashdeng.ae,1,True,
INS-47E321C2,PRJ-002,Waterproofing,2021-10-20,EMP-0088,"Level 32, Zone B",Conditional,4,Change church own stage produce.,,Specific result loss long decision claim.,,2021-10-20T11:09:00,2021-10-20T11:09:00,system@alrashdeng.ae,1,True,
INS-20BD1422,PRJ-002,MEP Rough-In,2023-04-14,EMP-0098,"Level 16, Zone A",Passed,0,,,,,2023-04-14T10:20:00,2023-04-14T10:20:00,system@alrashdeng.ae,1,True,
INS-833C8F55,PRJ-002,Waterproofing,2022-09-15,EMP-0091,"Level 26, Zone A",Passed,0,,,,,2022-09-15T13:36:00,2022-09-15T13:36:00,system@alrashdeng.ae,1,True,
INS-2A955908,PRJ-002,Waterproofing,2021-07-09,EMP-0087,"Level 37, Zone C",Failed,3,Two might if wide point.,2021-07-18,,,2021-07-09T07:06:00,2021-07-09T07:06:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-48907B6D,PRJ-002,Formwork,2023-05-20,EMP-0086,"Level 41, Zone A",Passed,0,,,Describe paper likely loss.,,2023-05-20T15:58:00,2023-05-20T15:58:00,system@alrashdeng.ae,1,True,
INS-CB6BF562,PRJ-002,Formwork,2021-12-02,EMP-0082,"Level 41, Zone B",Passed,0,,,,,2021-12-02T16:59:00,2021-12-02T16:59:00,system@alrashdeng.ae,1,True,
INS-A8DEBD88,PRJ-002,Concrete Pour,2022-09-22,EMP-0082,"Level 25, Zone B",Passed,0,,,,,2022-09-22T12:32:00,2022-09-22T12:32:00,system@alrashdeng.ae,1,True,
INS-57B94DFB,PRJ-002,Final Handover,2022-07-26,EMP-0086,"Level 44, Zone C",Passed,0,,,Others attention her car admit mission training.,,2022-07-26T14:14:00,2022-07-26T14:14:00,system@alrashdeng.ae,1,True,
INS-18A70609,PRJ-002,MEP Rough-In,2022-12-14,EMP-0091,"Level 19, Zone B",Passed,0,,,Live pass although six.,,2022-12-14T10:22:00,2022-12-14T10:22:00,system@alrashdeng.ae,1,True,
INS-A8CDF44D,PRJ-002,Concrete Pour,2022-07-20,EMP-0078,"Level 18, Zone A",Passed,0,,,,,2022-07-20T08:49:00,2022-07-20T08:49:00,system@alrashdeng.ae,1,True,
INS-004EA81A,PRJ-002,Formwork,2021-09-21,EMP-0095,"Level 44, Zone C",Failed,0,Miss have analysis morning director sort.,2021-10-02,,,2021-09-21T13:04:00,2021-09-21T13:04:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-CDFBA4E9,PRJ-002,Formwork,2023-03-09,EMP-0098,"Level 20, Zone C",Conditional,4,Best care local discussion teacher exist theory.,,,,2023-03-09T17:55:00,2023-03-09T17:55:00,system@alrashdeng.ae,1,True,
INS-BE5F902F,PRJ-002,Rebar Placement,2022-05-05,EMP-0079,"Level 3, Zone D",Passed,0,,,,,2022-05-05T10:03:00,2022-05-05T10:03:00,system@alrashdeng.ae,1,True,
INS-850F1CDC,PRJ-002,Structural,2023-03-09,EMP-0091,"Level 1, Zone A",Passed,0,,,,,2023-03-09T15:15:00,2023-03-09T15:15:00,system@alrashdeng.ae,1,True,
INS-CDE5C35A,PRJ-002,Formwork,2021-06-13,EMP-0092,"Level 5, Zone A",Failed,0,Impact blood international one end movie.,2021-06-27,Hand every quite sense including six lot.,,2021-06-13T09:12:00,2021-06-13T09:12:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-FD0EE0B6,PRJ-002,Structural,2022-04-03,EMP-0080,"Level 22, Zone A",Passed,0,,,,,2022-04-03T17:57:00,2022-04-03T17:57:00,system@alrashdeng.ae,1,True,
INS-65EBD4DC,PRJ-002,Fire Safety,2022-02-11,EMP-0078,"Level 31, Zone D",Passed,0,,,,,2022-02-11T12:14:00,2022-02-11T12:14:00,system@alrashdeng.ae,1,True,
INS-1E7C6795,PRJ-002,Waterproofing,2023-01-24,EMP-0087,"Level 24, Zone A",Conditional,2,Land record class Democrat hundred.,,,,2023-01-24T09:28:00,2023-01-24T09:28:00,system@alrashdeng.ae,1,True,
INS-AF3F9D9A,PRJ-002,MEP Rough-In,2022-03-09,EMP-0098,"Level 19, Zone D",Passed,0,,,Claim who accept.,,2022-03-09T07:06:00,2022-03-09T07:06:00,system@alrashdeng.ae,1,True,
INS-99A9AF6A,PRJ-002,Rebar Placement,2021-08-20,EMP-0088,"Level 15, Zone A",Failed,2,Because enjoy he participant right us.,2021-08-30,Pass minute represent our watch star.,,2021-08-20T17:13:00,2021-08-20T17:13:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-D9BECCFF,PRJ-002,Waterproofing,2022-11-08,EMP-0093,"Level 9, Zone C",Conditional,1,Experience almost outside middle discuss college already.,,,,2022-11-08T13:05:00,2022-11-08T13:05:00,system@alrashdeng.ae,1,True,
INS-163B5481,PRJ-002,Structural,2021-12-18,EMP-0095,"Level 10, Zone B",Passed,0,,,Sister good house only military.,,2021-12-18T08:47:00,2021-12-18T08:47:00,system@alrashdeng.ae,1,True,
INS-8CB21AA2,PRJ-002,Formwork,2023-01-25,EMP-0092,"Level 42, Zone B",Conditional,3,Risk next on girl spring.,,,,2023-01-25T07:32:00,2023-01-25T07:32:00,system@alrashdeng.ae,1,True,
INS-EE01B9E0,PRJ-002,Structural,2021-12-08,EMP-0090,"Level 22, Zone D",Passed,0,,,Offer end imagine blood authority family.,,2021-12-08T09:17:00,2021-12-08T09:17:00,system@alrashdeng.ae,1,True,
INS-41F83199,PRJ-002,Final Handover,2023-07-15,EMP-0091,"Level 34, Zone D",Passed,0,,,,,2023-07-15T11:50:00,2023-07-15T11:50:00,system@alrashdeng.ae,1,True,
INS-400945CE,PRJ-002,Waterproofing,2023-05-18,EMP-0093,"Level 29, Zone A",Failed,5,Whom none show serious which learn.,2023-05-23,,,2023-05-18T17:13:00,2023-05-18T17:13:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-7B62659E,PRJ-002,Concrete Pour,2022-06-16,EMP-0079,"Level 26, Zone A",Passed,0,,,Election him small detail.,,2022-06-16T11:32:00,2022-06-16T11:32:00,system@alrashdeng.ae,1,True,
INS-F49816AD,PRJ-002,Final Handover,2022-12-27,EMP-0087,"Level 9, Zone B",Failed,1,Might act strategy eat behavior purpose.,2023-01-04,Away use live government thus especially.,,2022-12-27T10:19:00,2022-12-27T10:19:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-30AED12D,PRJ-002,Waterproofing,2023-07-15,EMP-0091,"Level 47, Zone D",Passed,0,,,,,2023-07-15T08:09:00,2023-07-15T08:09:00,system@alrashdeng.ae,1,True,
INS-3DF76A69,PRJ-002,Fire Safety,2022-07-17,EMP-0098,"Level 27, Zone C",Passed,0,,,,,2022-07-17T12:10:00,2022-07-17T12:10:00,system@alrashdeng.ae,1,True,
INS-D5BEA8DC,PRJ-002,Waterproofing,2023-05-15,EMP-0096,"Level 50, Zone B",Passed,0,,,,,2023-05-15T13:42:00,2023-05-15T13:42:00,system@alrashdeng.ae,1,True,
INS-C7688339,PRJ-002,Waterproofing,2021-12-27,EMP-0087,"Level 41, Zone A",Conditional,0,Build bad what manage.,,,,2021-12-27T16:31:00,2021-12-27T16:31:00,system@alrashdeng.ae,1,True,
INS-0AD1C18C,PRJ-002,Rebar Placement,2021-06-13,EMP-0094,"Level 9, Zone D",Passed,0,,,,,2021-06-13T17:27:00,2021-06-13T17:27:00,system@alrashdeng.ae,1,True,
INS-7E0A04C2,PRJ-002,Waterproofing,2023-04-25,EMP-0085,"Level 21, Zone C",Passed,0,,,,,2023-04-25T15:51:00,2023-04-25T15:51:00,system@alrashdeng.ae,1,True,
INS-DE67A278,PRJ-002,Rebar Placement,2023-06-05,EMP-0094,"Level 33, Zone C",Passed,0,,,,,2023-06-05T13:34:00,2023-06-05T13:34:00,system@alrashdeng.ae,1,True,
INS-EA7F6C7D,PRJ-002,Structural,2022-01-16,EMP-0090,"Level 16, Zone A",Passed,0,,,,,2022-01-16T08:52:00,2022-01-16T08:52:00,system@alrashdeng.ae,1,True,
INS-93A05478,PRJ-002,Concrete Pour,2022-07-27,EMP-0083,"Level 5, Zone B",Passed,0,,,Approach son long must.,,2022-07-27T12:19:00,2022-07-27T12:19:00,system@alrashdeng.ae,1,True,
INS-C6A1A468,PRJ-002,Waterproofing,2022-07-20,EMP-0080,"Level 46, Zone B",Passed,0,,,,,2022-07-20T07:07:00,2022-07-20T07:07:00,system@alrashdeng.ae,1,True,
INS-84A91789,PRJ-002,Structural,2021-10-27,EMP-0079,"Level 19, Zone D",Conditional,0,Firm across purpose here beyond gun technology.,,Nature down likely party.,,2021-10-27T10:31:00,2021-10-27T10:31:00,system@alrashdeng.ae,1,True,
INS-6B49ACC6,PRJ-002,Rebar Placement,2022-03-31,EMP-0098,"Level 32, Zone D",Passed,0,,,,,2022-03-31T07:12:00,2022-03-31T07:12:00,system@alrashdeng.ae,1,True,
INS-668D3C8B,PRJ-002,Concrete Pour,2022-12-27,EMP-0084,"Level 6, Zone D",Passed,0,,,,,2022-12-27T16:39:00,2022-12-27T16:39:00,system@alrashdeng.ae,1,True,
INS-FAB1996A,PRJ-002,Concrete Pour,2022-01-20,EMP-0080,"Level 5, Zone C",Failed,0,Rather sport result sound new task cultural.,2022-01-23,,,2022-01-20T14:52:00,2022-01-20T14:52:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-CE40483B,PRJ-002,MEP Rough-In,2023-03-18,EMP-0081,"Level 48, Zone D",Passed,0,,,Computer matter yet.,,2023-03-18T16:52:00,2023-03-18T16:52:00,system@alrashdeng.ae,1,True,
INS-50D3802D,PRJ-003,Structural,2024-05-19,EMP-0079,"Level 49, Zone A",Conditional,5,Feel no nothing huge real art sport.,,Stuff benefit seat employee growth newspaper special.,,2024-05-19T09:48:00,2024-05-19T09:48:00,system@alrashdeng.ae,1,True,
INS-DE0BDE18,PRJ-003,Concrete Pour,2022-09-06,EMP-0094,"Level 16, Zone A",Passed,0,,,,,2022-09-06T11:54:00,2022-09-06T11:54:00,system@alrashdeng.ae,1,True,
INS-936DD1A8,PRJ-003,Final Handover,2023-10-23,EMP-0094,"Level 21, Zone C",Conditional,0,Company sister great pull maintain say threat.,,,,2023-10-23T08:13:00,2023-10-23T08:13:00,system@alrashdeng.ae,1,True,
INS-F4E35F7B,PRJ-003,Fire Safety,2022-10-21,EMP-0085,"Level 21, Zone B",Passed,0,,,Than political up instead.,,2022-10-21T07:30:00,2022-10-21T07:30:00,system@alrashdeng.ae,1,True,
INS-12439B0F,PRJ-003,Final Handover,2023-08-02,EMP-0094,"Level 47, Zone A",Passed,0,,,,,2023-08-02T14:38:00,2023-08-02T14:38:00,system@alrashdeng.ae,1,True,
INS-511EEEB8,PRJ-003,MEP Rough-In,2021-10-15,EMP-0092,"Level 7, Zone D",Passed,0,,,,,2021-10-15T07:35:00,2021-10-15T07:35:00,system@alrashdeng.ae,1,True,
INS-A5076897,PRJ-003,Rebar Placement,2023-09-21,EMP-0097,"Level 30, Zone B",Conditional,1,Even know television guy only whole.,,Cold take by doctor edge season.,,2023-09-21T17:38:00,2023-09-21T17:38:00,system@alrashdeng.ae,1,True,
INS-1A5ED196,PRJ-003,Structural,2024-01-18,EMP-0086,"Level 30, Zone D",Failed,0,As these nature ago.,2024-01-29,,,2024-01-18T12:53:00,2024-01-18T12:53:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-1A9B0D42,PRJ-003,Concrete Pour,2022-11-10,EMP-0092,"Level 26, Zone A",Passed,0,,,Peace base use hope director.,,2022-11-10T07:11:00,2022-11-10T07:11:00,system@alrashdeng.ae,1,True,
INS-219B606D,PRJ-003,Concrete Pour,2024-01-03,EMP-0095,"Level 23, Zone C",Passed,0,,,,,2024-01-03T15:02:00,2024-01-03T15:02:00,system@alrashdeng.ae,1,True,
INS-A9DE5B26,PRJ-003,Formwork,2023-04-18,EMP-0098,"Level 16, Zone C",Passed,0,,,,,2023-04-18T09:13:00,2023-04-18T09:13:00,system@alrashdeng.ae,1,True,
INS-79E546E7,PRJ-003,Formwork,2022-09-21,EMP-0083,"Level 7, Zone D",Passed,0,,,,,2022-09-21T13:38:00,2022-09-21T13:38:00,system@alrashdeng.ae,1,True,
INS-45BCF3BA,PRJ-003,Structural,2023-02-04,EMP-0095,"Level 22, Zone D",Conditional,2,Know wide recently computer our piece player.,,,,2023-02-04T14:01:00,2023-02-04T14:01:00,system@alrashdeng.ae,1,True,
INS-88A613B4,PRJ-003,Final Handover,2023-06-03,EMP-0089,"Level 4, Zone D",Passed,0,,,,,2023-06-03T08:15:00,2023-06-03T08:15:00,system@alrashdeng.ae,1,True,
INS-3A2516FE,PRJ-003,Fire Safety,2022-07-25,EMP-0082,"Level 5, Zone C",Failed,0,Kind hand employee field.,2022-08-08,,,2022-07-25T13:57:00,2022-07-25T13:57:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-22E49628,PRJ-003,Formwork,2021-07-10,EMP-0090,"Level 4, Zone A",Passed,0,,,,,2021-07-10T07:13:00,2021-07-10T07:13:00,system@alrashdeng.ae,1,True,
INS-B011B125,PRJ-003,Fire Safety,2022-09-05,EMP-0079,"Level 41, Zone C",Passed,0,,,Water local across involve fall discuss account.,,2022-09-05T09:18:00,2022-09-05T09:18:00,system@alrashdeng.ae,1,True,
INS-6FE633F1,PRJ-003,Rebar Placement,2022-10-12,EMP-0097,"Level 34, Zone B",Passed,0,,,,,2022-10-12T11:34:00,2022-10-12T11:34:00,system@alrashdeng.ae,1,True,
INS-A55FA725,PRJ-003,Rebar Placement,2022-11-07,EMP-0085,"Level 1, Zone A",Passed,0,,,,,2022-11-07T08:47:00,2022-11-07T08:47:00,system@alrashdeng.ae,1,True,
INS-144716CC,PRJ-003,Rebar Placement,2022-11-01,EMP-0078,"Level 20, Zone B",Passed,0,,,,,2022-11-01T08:23:00,2022-11-01T08:23:00,system@alrashdeng.ae,1,True,
INS-CCCA1E14,PRJ-003,Structural,2022-12-11,EMP-0093,"Level 46, Zone C",Passed,0,,,Space range expect sea speak include table consumer.,,2022-12-11T15:24:00,2022-12-11T15:24:00,system@alrashdeng.ae,1,True,
INS-73E88DB6,PRJ-003,Waterproofing,2022-07-01,EMP-0090,"Level 45, Zone B",Conditional,1,Red man fly charge wide.,,,,2022-07-01T16:55:00,2022-07-01T16:55:00,system@alrashdeng.ae,1,True,
INS-44E9F8FB,PRJ-003,MEP Rough-In,2021-08-06,EMP-0087,"Level 35, Zone A",Passed,0,,,,,2021-08-06T12:01:00,2021-08-06T12:01:00,system@alrashdeng.ae,1,True,
INS-3B997815,PRJ-003,Waterproofing,2021-12-10,EMP-0093,"Level 26, Zone C",Passed,0,,,Character management game find.,,2021-12-10T09:31:00,2021-12-10T09:31:00,system@alrashdeng.ae,1,True,
INS-B26A51A5,PRJ-003,Structural,2024-03-19,EMP-0081,"Level 20, Zone D",Failed,1,Form such weight.,2024-03-30,,,2024-03-19T08:08:00,2024-03-19T08:08:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-8B0EA0B9,PRJ-003,Rebar Placement,2021-09-16,EMP-0092,"Level 31, Zone C",Failed,0,Consider time economic high actually window research.,2021-09-21,,,2021-09-16T12:48:00,2021-09-16T12:48:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-BCD49975,PRJ-003,Final Handover,2022-10-26,EMP-0094,"Level 6, Zone C",Failed,2,Current same behind.,2022-11-02,,,2022-10-26T17:02:00,2022-10-26T17:02:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-AE7300EB,PRJ-003,Final Handover,2023-10-07,EMP-0083,"Level 14, Zone D",Conditional,0,View city rock seat near.,,,,2023-10-07T11:27:00,2023-10-07T11:27:00,system@alrashdeng.ae,1,True,
INS-32DF8D45,PRJ-003,Fire Safety,2021-12-07,EMP-0086,"Level 27, Zone D",Conditional,3,Thought tell design both plan foot.,,,,2021-12-07T12:04:00,2021-12-07T12:04:00,system@alrashdeng.ae,1,True,
INS-6553B15F,PRJ-003,Rebar Placement,2022-01-31,EMP-0078,"Level 29, Zone B",Passed,0,,,,,2022-01-31T15:29:00,2022-01-31T15:29:00,system@alrashdeng.ae,1,True,
INS-94C176B9,PRJ-003,Fire Safety,2024-03-06,EMP-0090,"Level 16, Zone D",Passed,0,,,,,2024-03-06T17:48:00,2024-03-06T17:48:00,system@alrashdeng.ae,1,True,
INS-27AD8D51,PRJ-003,Final Handover,2024-02-28,EMP-0079,"Level 13, Zone A",Passed,0,,,,,2024-02-28T11:14:00,2024-02-28T11:14:00,system@alrashdeng.ae,1,True,
INS-7FFAB493,PRJ-003,Concrete Pour,2022-10-09,EMP-0083,"Level 28, Zone C",Failed,0,Rather full wide service.,2022-10-16,,,2022-10-09T12:45:00,2022-10-09T12:45:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-B38A3DB1,PRJ-003,Formwork,2021-09-21,EMP-0090,"Level 3, Zone B",Passed,0,,,,,2021-09-21T12:16:00,2021-09-21T12:16:00,system@alrashdeng.ae,1,True,
INS-3B90908E,PRJ-003,Structural,2023-04-30,EMP-0082,"Level 28, Zone B",Passed,0,,,,,2023-04-30T11:02:00,2023-04-30T11:02:00,system@alrashdeng.ae,1,True,
INS-C1B6EDD4,PRJ-003,Structural,2022-08-03,EMP-0091,"Level 16, Zone B",Passed,0,,,,,2022-08-03T17:57:00,2022-08-03T17:57:00,system@alrashdeng.ae,1,True,
INS-31662C94,PRJ-003,MEP Rough-In,2022-09-10,EMP-0082,"Level 30, Zone A",Passed,0,,,Ready group care.,,2022-09-10T10:21:00,2022-09-10T10:21:00,system@alrashdeng.ae,1,True,
INS-8F1C3FA0,PRJ-003,Structural,2024-07-19,EMP-0093,"Level 26, Zone B",Passed,0,,,,,2024-07-19T09:13:00,2024-07-19T09:13:00,system@alrashdeng.ae,1,True,
INS-91135D7E,PRJ-003,Structural,2022-07-07,EMP-0094,"Level 30, Zone A",Failed,3,Myself food life test.,2022-07-20,,,2022-07-07T11:33:00,2022-07-07T11:33:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-11A1E557,PRJ-003,Structural,2023-07-16,EMP-0096,"Level 43, Zone B",Failed,1,Choice fast enjoy happen a point here.,2023-07-19,,,2023-07-16T12:49:00,2023-07-16T12:49:00,system@alrashdeng.ae,1,True,Failed Inspection
INS-5D340833,PRJ-003,Waterproofing,2022-02-23,EMP-0078,"Level 22, Zone A",Passed,0,,,,,2022-02-23T16:49:00,2022-02-23T16:49:00,system@alrashdeng.ae,1,True,
INS-10372A5C,PRJ-003,Final Handover,2024-02-19,EMP-0084,"Level 36, Zone D",Passed,0,,,Standard couple raise she child executive important.,,2024-02-19T12:38:00,2024-02-19T12:38:00,system@alrashdeng.ae,1,True,
INS-1111EE29,PRJ-003,Structural,2022-08-10,EMP-0086,"Level 49, Zone A",Passed,0,,,,,2022-08-10T17:41:00,2022-08-10T17:41:00,system@alrashdeng.ae,1,True,
INS-DF9D3910,PRJ-003,Fire Safety,2021-09-01,EMP-0091,"Level 28, Zone A",Conditional,5,Dark magazine better.,,,,2021-09-01T16:56:00,2021-09-01T16:56:00,system@alrashdeng.ae,1,True,
INS-7D6AB7C2,PRJ-003,Final Handover,2023-06-12,EMP-0088,"Level 22, Zone C",Passed,0,,,,,2023-06-12T08:37:00,2023-06-12T08:37:00,system@alrashdeng.ae,1,True,
INS-0C90E028,PRJ-003,Concrete Pour,2023-04-17,EMP-0085,"Level 50, Zone C",Conditional,1,Determine responsibility actually TV pretty up.,,Life police guess sea.,,2023-04-17T14:13:00,2023-04-17T14:13:00,system@alrashdeng.ae,1,True,
INS-B55BEAAA,PRJ-003,Formwork,2024-07-09,EMP-0092,"Level 46, Zone B",Passed,0,,,,,2024-07-09T09:11:00,2024-07-09T09:11:00,system@alrashdeng.ae,1,True,
INS-0A683EB8,PRJ-003,Formwork,2021-09-19,EMP-0093,"Level 6, Zone A",Conditional,0,Strong back democratic mind.,,Rise mother country moment.,,2021-09-19T12:41:00,2021-09-19T12:41:00,system@alrashdeng.ae,1,True,
INS-8EF4D74B,PRJ-003,Structural,2022-05-11,EMP-0097,"Level 7, Zone D",Passed,0,,,,,2022-05-11T09:03:00,2022-05-11T09:03:00,system@alrashdeng.ae,1,True,
INS-C42B266B,PRJ-004,Fire Safety,2022-07-07,EMP-0081,"Level 18, Zone C",Passed,0,,,Group learn professor third coach Congress husband.,,2022-07-07T13:36:00,2022-07-07T13:36:00,system@alrashdeng.ae,1,True,
INS-999413CC,PRJ-004,MEP Rough-In,2021-11-02,EMP-0079,"Level 23, Zone B",Failed,0,Value total nearly you suddenly include.,2021-11-11,Step food drive nation heart nearly.,,2021-11-02T07:13:00,2021-11-02T07:13:00,system@alrashdeng.ae,1,True,Failed Inspection
