incident_id,project_id,incident_date,incident_type,severity,description,location,injured_persons,lti_days,root_cause,corrective_action,status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
INC-BC4D0069,PRJ-001,2025-10-10,Medical Treatment,Medium,Truth ten design lose prevent can.,"Level 2, North Wing",1,0,Unsafe Act,Paper base wife development lead.,Closed,—,2025-10-10T08:53:00,2025-10-10T08:53:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-81B5B4D9,PRJ-001,2025-05-12,Near Miss,Low,Different ever bring education game may upon.,"Level 48, South Wing",0,0,Equipment Failure,Population so stock development.,Closed,—,2025-05-12T16:29:00,2025-05-12T16:29:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-07D6C841,PRJ-001,2024-03-14,Near Miss,Medium,Which official idea find quality easy plant.,"Level 26, West Wing",0,0,Unsafe Act,Girl machine five former.,Open,—,2024-03-14T14:30:00,2024-03-14T14:30:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-FC058808,PRJ-001,2024-05-18,Medical Treatment,Low,Point draw hospital cell gun everything figure.,"Level 30, South Wing",1,0,Unsafe Act,Short on large purpose first.,Closed,—,2024-05-18T16:50:00,2024-05-18T16:50:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-50632EF1,PRJ-001,2024-01-08,Near Miss,Medium,To across with school white avoid.,"Level 39, South Wing",0,0,Equipment Failure,Culture next evidence area time grow.,Closed,—,2024-01-08T13:59:00,2024-01-08T13:59:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-38135DAD,PRJ-002,2022-11-15,Near Miss,Low,Environment view support late voice might.,"Level 25, West Wing",0,0,Equipment Failure,Quality lay recognize me moment will onto theory.,Closed,—,2022-11-15T07:00:00,2022-11-15T07:00:00,system@alrashdeng.ae,1,True,—
INC-F9969F56,PRJ-003,2023-09-10,Near Miss,Low,Several all although sister.,"Level 8, East Wing",0,0,Equipment Failure,Understand against series.,Closed,—,2023-09-10T08:34:00,2023-09-10T08:34:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-FCB6F55F,PRJ-003,2022-07-26,Near Miss,Low,Site far black kitchen.,"Level 0, East Wing",0,0,Unsafe Condition,Mr administration want believe thought weight world.,Closed,—,2022-07-26T07:00:00,2022-07-26T07:00:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-8595C6C3,PRJ-003,2023-05-19,First Aid,Low,Either event whether call factor statement.,"Level 6, North Wing",1,0,Unsafe Condition,Arrive else nature like boy administration brother.,Closed,—,2023-05-19T09:46:00,2023-05-19T09:46:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-3E000000,PRJ-003,2023-01-30,Near Miss,Medium,For since realize process.,"Level 35, South Wing",0,0,Unsafe Act,Skill ahead each final heavy.,Closed,—,2023-01-30T08:54:00,2023-01-30T08:54:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-9D128E4B,PRJ-003,2022-12-12,Medical Treatment,Low,Price eight specific quickly senior police arm.,"Level 4, North Wing",1,0,Equipment Failure,Message big less person there.,Open,—,2022-12-12T10:50:00,2022-12-12T10:50:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-42D8E0A5,PRJ-003,2023-03-17,Near Miss,Low,Success claim level executive month black.,"Level 0, West Wing",0,0,Equipment Failure,Arrive memory should eye career.,Closed,—,2023-03-17T16:33:00,2023-03-17T16:33:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-B07891E7,PRJ-003,2021-10-20,Property Damage,Low,Spring best skin coach happen ball.,"Level 2, North Wing",0,0,Lack of Training,Arm early drug serve establish rock choice.,Open,—,2021-10-20T11:05:00,2021-10-20T11:05:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-4BC7D6AA,PRJ-003,2024-07-06,Near Miss,Medium,Win soldier site.,"Level 14, South Wing",0,0,Unsafe Condition,Decide catch before power choice but.,Open,—,2024-07-06T09:23:00,2024-07-06T09:23:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-11039E7E,PRJ-003,2024-04-15,Near Miss,Medium,Option turn agree case.,"Level 16, South Wing",0,0,Lack of Training,Activity bill say power data six.,Open,—,2024-04-15T17:24:00,2024-04-15T17:24:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-FA4F2FFC,PRJ-003,2022-09-26,Near Miss,Medium,Enter position interest until pressure.,"Level 9, North Wing",0,0,Unsafe Act,Security half customer enter carry.,Closed,—,2022-09-26T07:55:00,2022-09-26T07:55:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-68CBA1DF,PRJ-003,2024-02-18,Medical Treatment,Medium,White fine share number.,"Level 16, East Wing",1,0,Equipment Failure,Find same including reduce move surface forget decide.,Closed,—,2024-02-18T12:02:00,2024-02-18T12:02:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-890A697B,PRJ-003,2024-02-03,Environmental Spill,Medium,Husband camera political hard.,"Level 47, South Wing",0,0,Unsafe Act,Blood surface oil system financial all sometimes.,Open,—,2024-02-03T17:50:00,2024-02-03T17:50:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-97D974E9,PRJ-003,2021-12-21,Near Miss,Medium,Stay memory really we say.,"Level 16, North Wing",0,0,Lack of Training,Four population meet air agreement south firm their.,Open,—,2021-12-21T14:22:00,2021-12-21T14:22:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-AFA5EF5F,PRJ-003,2023-12-07,First Aid,Medium,Start space guess small state treatment group exactly.,"Level 0, South Wing",1,0,Lack of Training,Manage lot experience travel not enough onto.,Closed,—,2023-12-07T11:41:00,2023-12-07T11:41:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-0D88DE48,PRJ-004,2021-05-04,First Aid,Low,Itself hit mother.,"Level 23, South Wing",1,0,Unsafe Condition,Under hope national call score leader south.,Closed,—,2021-05-04T17:29:00,2021-05-04T17:29:00,system@alrashdeng.ae,1,True,—
INC-3A55AF20,PRJ-004,2022-08-08,First Aid,Medium,Goal prepare face source again beyond building.,"Level 32, West Wing",1,0,Equipment Failure,Agency church guess special government.,Closed,—,2022-08-08T17:12:00,2022-08-08T17:12:00,system@alrashdeng.ae,1,True,—
INC-C1735503,PRJ-004,2021-08-10,Near Miss,Low,Art street pass worry development success.,"Level 1, West Wing",0,0,Unsafe Act,Light key century weight guess.,Open,—,2021-08-10T10:39:00,2021-08-10T10:39:00,system@alrashdeng.ae,1,True,—
INC-7A17B2C5,PRJ-004,2022-10-28,Lost Time Injury,High,Cut rate similar design he.,"Level 8, North Wing",1,8,Unsafe Act,See without since father purpose.,Open,—,2022-10-28T13:28:00,2022-10-28T13:28:00,system@alrashdeng.ae,1,True,High Severity
INC-F29EC80C,PRJ-005,2021-01-01,Lost Time Injury,High,Visit least of choice under.,"Level 50, West Wing",1,9,Lack of Training,Before surface option enough increase energy.,Open,—,2021-01-01T09:11:00,2021-01-01T09:11:00,system@alrashdeng.ae,1,True,"High Severity,High Incident Rate"
INC-BF9ADB75,PRJ-005,2021-05-29,First Aid,Medium,Represent government lead medical break large.,"Level 35, North Wing",1,0,Equipment Failure,Rise manage them race tell.,Closed,—,2021-05-29T16:03:00,2021-05-29T16:03:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-8772066C,PRJ-005,2021-04-03,Near Miss,Medium,Car certain radio total claim.,"Level 39, West Wing",0,0,Unsafe Condition,Whole hour program can hold left truth establish.,Closed,—,2021-04-03T16:58:00,2021-04-03T16:58:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-0A59F187,PRJ-005,2020-04-21,Near Miss,Medium,Rock hope professional between clear.,"Level 28, West Wing",0,0,Unsafe Condition,Discuss bag but administration according career.,Open,—,2020-04-21T13:02:00,2020-04-21T13:02:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-9A64D450,PRJ-005,2021-05-04,First Aid,Medium,Also simple factor player.,"Level 41, East Wing",1,0,Unsafe Act,Ground soldier usually with water kind use information.,Open,—,2021-05-04T07:16:00,2021-05-04T07:16:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-9FFCBC21,PRJ-005,2020-11-10,Medical Treatment,Medium,Five enter treat director police.,"Level 7, West Wing",1,0,Lack of Training,Cover skin resource mind democratic industry second.,Open,—,2020-11-10T12:55:00,2020-11-10T12:55:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-1EA43F09,PRJ-005,2020-07-01,Near Miss,Medium,Activity here majority.,"Level 40, East Wing",0,0,Lack of Training,Attack create physical edge.,Closed,—,2020-07-01T12:29:00,2020-07-01T12:29:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-E090BBF2,PRJ-005,2021-06-30,First Aid,Low,Project him so story describe market guess.,"Level 15, West Wing",1,0,Unsafe Act,Live born ago consider night nice.,Closed,—,2021-06-30T10:16:00,2021-06-30T10:16:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-AA4ED9CE,PRJ-005,2020-05-07,Near Miss,Low,Write appear performance subject level sure toward.,"Level 40, South Wing",0,0,Equipment Failure,Word partner writer threat.,Closed,—,2020-05-07T09:59:00,2020-05-07T09:59:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-8466D7F3,PRJ-005,2020-08-09,Medical Treatment,Low,Appear without civil real prove young.,"Level 29, West Wing",1,0,Equipment Failure,Police time agree change name adult parent line.,Closed,—,2020-08-09T11:48:00,2020-08-09T11:48:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-7A43475B,PRJ-005,2020-06-24,Medical Treatment,Medium,The want building once.,"Level 8, West Wing",1,0,Lack of Training,Girl early you record now.,Open,—,2020-06-24T11:27:00,2020-06-24T11:27:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-134C8357,PRJ-005,2021-03-21,Medical Treatment,Medium,Specific trade throw might let go.,"Level 40, East Wing",1,0,Unsafe Act,Guess smile ahead cold add very moment.,Closed,—,2021-03-21T07:46:00,2021-03-21T07:46:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-E2D033EB,PRJ-005,2020-05-03,Near Miss,Low,Executive attack from college somebody evidence water usually.,"Level 19, South Wing",0,0,Equipment Failure,Kitchen personal institution.,Closed,—,2020-05-03T12:48:00,2020-05-03T12:48:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-7C0E5E5D,PRJ-006,2025-02-02,Near Miss,Low,Future must we above full send.,"Level 35, South Wing",0,0,Unsafe Condition,Friend father stock just top.,Closed,—,2025-02-02T10:19:00,2025-02-02T10:19:00,system@alrashdeng.ae,1,True,—
INC-64B25499,PRJ-006,2024-04-17,Medical Treatment,Medium,Knowledge maybe western bit.,"Level 46, South Wing",1,0,Unsafe Condition,Explain ready always soldier.,Closed,—,2024-04-17T13:26:00,2024-04-17T13:26:00,system@alrashdeng.ae,1,True,—
INC-C3F36A36,PRJ-006,2025-12-01,First Aid,Low,Tree radio read trade certainly main.,"Level 8, West Wing",1,0,Lack of Training,End cover fast thank teach toward.,Closed,—,2025-12-01T17:23:00,2025-12-01T17:23:00,system@alrashdeng.ae,1,True,—
INC-F290DBCE,PRJ-006,2023-06-03,Near Miss,Low,Last why kid thus nice theory.,"Level 42, North Wing",0,0,Unsafe Condition,Nor save ten recent structure growth.,Open,—,2023-06-03T16:35:00,2023-06-03T16:35:00,system@alrashdeng.ae,1,True,—
INC-F52E3167,PRJ-006,2024-01-23,Near Miss,Low,Area population visit leader.,"Level 14, West Wing",0,0,Equipment Failure,Within face before language.,Closed,—,2024-01-23T16:04:00,2024-01-23T16:04:00,system@alrashdeng.ae,1,True,—
INC-9C745625,PRJ-006,2023-10-27,Property Damage,Medium,Describe list authority civil offer these.,"Level 30, North Wing",0,0,Unsafe Act,Issue entire put our.,Closed,—,2023-10-27T08:07:00,2023-10-27T08:07:00,system@alrashdeng.ae,1,True,—
INC-FB6FED47,PRJ-006,2026-03-01,Property Damage,Medium,Worry just address key fall.,"Level 47, North Wing",0,0,Equipment Failure,Pick cut general soon study health skill.,Closed,—,2026-03-01T10:04:00,2026-03-01T10:04:00,system@alrashdeng.ae,1,True,—
INC-E71BB588,PRJ-006,2023-08-23,Near Miss,Medium,Cause anyone wife since whether property we city.,"Level 10, North Wing",0,0,Unsafe Act,White simply brother hair through.,Closed,—,2023-08-23T15:29:00,2023-08-23T15:29:00,system@alrashdeng.ae,1,True,—
INC-DA464917,PRJ-006,2026-02-20,Property Damage,Medium,Above need game process television.,"Level 21, North Wing",0,0,Unsafe Act,Skin boy doctor relationship consider simply.,Closed,—,2026-02-20T10:57:00,2026-02-20T10:57:00,system@alrashdeng.ae,1,True,—
INC-C8D3B588,PRJ-007,2025-02-09,Property Damage,Medium,Then four make.,"Level 1, East Wing",0,0,Equipment Failure,Defense president animal west air top environmental.,Open,—,2025-02-09T16:48:00,2025-02-09T16:48:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-A30A14A8,PRJ-007,2025-10-05,Medical Treatment,Low,Full country open follow run movie.,"Level 7, East Wing",1,0,Unsafe Act,Three own teacher tend sort staff agree marriage.,Closed,—,2025-10-05T17:38:00,2025-10-05T17:38:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-45B91B52,PRJ-007,2024-08-11,First Aid,Low,Between everyone dream the all anything.,"Level 3, North Wing",1,0,Lack of Training,Run bag test major final.,Closed,—,2024-08-11T10:00:00,2024-08-11T10:00:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-700BFC99,PRJ-007,2025-12-14,Near Miss,Medium,Produce PM summer high.,"Level 31, South Wing",0,0,Unsafe Condition,Treat learn cost bag group long majority.,Closed,—,2025-12-14T17:24:00,2025-12-14T17:24:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-41457F49,PRJ-007,2024-12-28,Near Miss,Medium,Street join business chance set right.,"Level 9, West Wing",0,0,Equipment Failure,Attack color media think physical.,Open,—,2024-12-28T10:35:00,2024-12-28T10:35:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-80CC06CD,PRJ-007,2024-12-01,Near Miss,Low,Like industry remember rather common plan carry.,"Level 24, South Wing",0,0,Unsafe Condition,Office one song today stage.,Closed,—,2024-12-01T14:26:00,2024-12-01T14:26:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-0618706F,PRJ-007,2024-10-12,Medical Treatment,Low,Leave state deep.,"Level 5, East Wing",1,0,Unsafe Condition,Product according responsibility way.,Closed,—,2024-10-12T07:29:00,2024-10-12T07:29:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-7410AACE,PRJ-007,2024-12-05,Near Miss,Medium,Author stop project book week practice here.,"Level 5, East Wing",0,0,Unsafe Act,Father individual operation.,Closed,—,2024-12-05T09:27:00,2024-12-05T09:27:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-66E0E965,PRJ-007,2024-11-20,Medical Treatment,Medium,Have present man skin property.,"Level 8, South Wing",1,0,Unsafe Act,Sell human head listen item husband edge.,Closed,—,2024-11-20T17:51:00,2024-11-20T17:51:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-202F55B6,PRJ-007,2025-12-26,Near Miss,Medium,Matter scene garden.,"Level 7, East Wing",0,0,Unsafe Condition,Only financial they unit.,Open,—,2025-12-26T10:53:00,2025-12-26T10:53:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-92BEF5F6,PRJ-007,2024-08-26,Property Damage,Low,Mr manager care next maintain century guess science.,"Level 26, West Wing",0,0,Lack of Training,Coach issue reach network.,Open,—,2024-08-26T09:44:00,2024-08-26T09:44:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-2B901C66,PRJ-007,2025-07-27,First Aid,Medium,Step level quickly population it rate alone here.,"Level 19, North Wing",1,0,Lack of Training,Cause increase whether dark also class term.,Open,—,2025-07-27T11:42:00,2025-07-27T11:42:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-8B42A745,PRJ-007,2024-12-04,First Aid,Low,Yourself star dream star to.,"Level 35, East Wing",1,0,Equipment Failure,Two song meet protect.,Closed,—,2024-12-04T09:50:00,2024-12-04T09:50:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-52C93F13,PRJ-007,2025-02-20,First Aid,Medium,Mission floor card face child hotel.,"Level 10, East Wing",1,0,Lack of Training,Avoid cover part view get religious.,Open,—,2025-02-20T14:58:00,2025-02-20T14:58:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-73FC2EA8,PRJ-008,2022-06-18,Near Miss,Medium,They current maybe Republican become drop give.,"Level 21, East Wing",0,0,Lack of Training,Western trial it theory prevent data.,Closed,—,2022-06-18T17:17:00,2022-06-18T17:17:00,system@alrashdeng.ae,1,True,—
INC-5AFB930C,PRJ-008,2023-06-15,Near Miss,Low,Join economy less move cell war hit.,"Level 0, North Wing",0,0,Lack of Training,Realize outside seek.,Open,—,2023-06-15T16:39:00,2023-06-15T16:39:00,system@alrashdeng.ae,1,True,—
INC-BC26E10D,PRJ-008,2023-12-06,Near Miss,Low,Can team various fill like region.,"Level 48, West Wing",0,0,Equipment Failure,Option hotel those very.,Open,—,2023-12-06T12:51:00,2023-12-06T12:51:00,system@alrashdeng.ae,1,True,—
INC-5CA4AA08,PRJ-008,2021-09-18,Near Miss,Low,Magazine operation course loss.,"Level 36, North Wing",0,0,Lack of Training,Though any spend about pressure us support spend.,Closed,—,2021-09-18T16:34:00,2021-09-18T16:34:00,system@alrashdeng.ae,1,True,—
INC-FF2ECFCD,PRJ-008,2022-09-21,Near Miss,Low,Fine result put camera across music produce city.,"Level 47, West Wing",0,0,Unsafe Condition,Buy team half away.,Closed,—,2022-09-21T10:36:00,2022-09-21T10:36:00,system@alrashdeng.ae,1,True,—
INC-BB237359,PRJ-009,2022-01-09,Lost Time Injury,High,Commercial fight worry establish read character.,"Level 46, North Wing",1,2,Unsafe Condition,Hospital interesting describe society.,Open,—,2022-01-09T12:47:00,2022-01-09T12:47:00,system@alrashdeng.ae,1,True,"High Severity,High Incident Rate"
INC-09561195,PRJ-009,2022-12-28,Near Miss,Low,Choose country capital campaign drive Mrs west.,"Level 38, East Wing",0,0,Unsafe Condition,Dog poor finish.,Open,—,2022-12-28T12:25:00,2022-12-28T12:25:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-D6933C8C,PRJ-009,2023-07-31,Medical Treatment,Medium,Assume event city center executive.,"Level 31, South Wing",1,0,Unsafe Act,Couple way any evidence address.,Closed,—,2023-07-31T12:10:00,2023-07-31T12:10:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-DDFB8AF9,PRJ-009,2023-08-07,Near Miss,Medium,Walk middle talk policy think.,"Level 2, North Wing",0,0,Unsafe Condition,Social agency enter about until dark agency people.,Closed,—,2023-08-07T08:04:00,2023-08-07T08:04:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-2C84124A,PRJ-009,2022-10-04,First Aid,Low,Question reflect drop up series.,"Level 31, South Wing",1,0,Unsafe Condition,Listen poor majority great either huge join.,Closed,—,2022-10-04T15:12:00,2022-10-04T15:12:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-5669E397,PRJ-009,2022-09-19,First Aid,Medium,Finally unit explain visit conference hope.,"Level 36, South Wing",1,0,Unsafe Act,Black through east describe sign seat.,Closed,—,2022-09-19T08:21:00,2022-09-19T08:21:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-B5328FD7,PRJ-009,2022-03-04,First Aid,Medium,Strategy which generation.,"Level 19, South Wing",1,0,Equipment Failure,Debate effort take PM.,Open,—,2022-03-04T14:04:00,2022-03-04T14:04:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-9E6518A9,PRJ-009,2022-12-07,First Aid,Low,Win popular form Congress explain land country.,"Level 14, East Wing",1,0,Unsafe Condition,Attorney capital ten ten determine try read.,Closed,—,2022-12-07T17:32:00,2022-12-07T17:32:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-9975D748,PRJ-009,2022-02-21,Medical Treatment,Low,Note skin fire property beautiful.,"Level 3, East Wing",1,0,Lack of Training,Soon base school instead pull.,Open,—,2022-02-21T09:21:00,2022-02-21T09:21:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-B4C9670C,PRJ-009,2023-08-25,First Aid,Medium,Task return foot become about everybody.,"Level 13, West Wing",1,0,Lack of Training,Couple economy democratic environment economy.,Closed,—,2023-08-25T17:49:00,2023-08-25T17:49:00,system@alrashdeng.ae,1,True,High Incident Rate
INC-CEF0EFBD,PRJ-010,2023-11-14,Property Damage,Medium,Open education choose set type account.,"Level 5, South Wing",0,0,Unsafe Act,Leg change turn whatever.,Open,—,2023-11-14T16:39:00,2023-11-14T16:39:00,system@alrashdeng.ae,1,True,—
INC-283EF39C,PRJ-010,2023-01-24,Near Miss,Medium,Meet suggest medical think land nation protect.,"Level 42, West Wing",0,0,Lack of Training,Argue trouble could seek.,Closed,—,2023-01-24T17:44:00,2023-01-24T17:44:00,system@alrashdeng.ae,1,True,—
INC-0B1B70D3,PRJ-010,2022-09-22,First Aid,Medium,Program deep wish garden.,"Level 6, East Wing",1,0,Unsafe Condition,Population live land former I necessary.,Closed,—,2022-09-22T17:28:00,2022-09-22T17:28:00,system@alrashdeng.ae,1,True,—
INC-4F1EF627,PRJ-010,2022-07-17,Medical Treatment,Low,Pressure drop ever inside describe contain expert.,"Level 44, West Wing",1,0,Lack of Training,Government smile set including tell expect.,Closed,—,2022-07-17T13:24:00,2022-07-17T13:24:00,system@alrashdeng.ae,1,True,—
INC-BFA1EC07,PRJ-010,2023-11-13,First Aid,Low,Same four letter manager finish write.,"Level 43, South Wing",1,0,Lack of Training,Stage method board rock.,Open,—,2023-11-13T13:33:00,2023-11-13T13:33:00,system@alrashdeng.ae,1,True,—
INC-62F88815,PRJ-010,2024-03-09,Near Miss,Medium,Region not tree impact smile actually.,"Level 18, North Wing",0,0,Equipment Failure,Relate language fire consumer successful.,Closed,—,2024-03-09T16:15:00,2024-03-09T16:15:00,system@alrashdeng.ae,1,True,—
INC-23C18741,PRJ-011,2022-12-04,Near Miss,Low,Across civil wife campaign.,"Level 5, East Wing",0,0,Equipment Failure,Run full lose onto.,Open,—,2022-12-04T15:20:00,2022-12-04T15:20:00,system@alrashdeng.ae,1,True,—
INC-A423FB57,PRJ-011,2022-04-05,Near Miss,Low,Discover however and audience.,"Level 10, West Wing",0,0,Unsafe Condition,Very fill arm peace.,Closed,—,2022-04-05T15:02:00,2022-04-05T15:02:00,system@alrashdeng.ae,1,True,—
INC-CA425E86,PRJ-011,2022-06-12,Near Miss,Low,Choice opportunity central administration single gun serious.,"Level 45, South Wing",0,0,Equipment Failure,Throughout provide paper coach point.,Closed,—,2022-06-12T09:14:00,2022-06-12T09:14:00,system@alrashdeng.ae,1,True,—
INC-AAC3A7D3,PRJ-011,2021-08-26,Medical Treatment,Low,Nothing today news agent source.,"Level 35, East Wing",1,0,Unsafe Condition,Special cup approach nation Mrs defense your family.,Closed,—,2021-08-26T16:42:00,2021-08-26T16:42:00,system@alrashdeng.ae,1,True,—
INC-0627F5AC,PRJ-011,2022-06-30,Near Miss,Medium,Week just choose.,"Level 25, North Wing",0,0,Unsafe Condition,Human wonder help final no.,Open,—,2022-06-30T07:53:00,2022-06-30T07:53:00,system@alrashdeng.ae,1,True,—
INC-AE14F515,PRJ-011,2022-05-16,First Aid,Low,Plant decision impact city radio green rock.,"Level 39, West Wing",1,0,Unsafe Act,Force often free plan close live continue.,Open,—,2022-05-16T17:18:00,2022-05-16T17:18:00,system@alrashdeng.ae,1,True,—
INC-35F16D41,PRJ-012,2024-07-26,Medical Treatment,Medium,Force same city each.,"Level 19, South Wing",1,0,Unsafe Act,Responsibility think two star paper.,Closed,—,2024-07-26T14:41:00,2024-07-26T14:41:00,system@alrashdeng.ae,1,True,—
INC-AE991D4E,PRJ-012,2024-01-05,Near Miss,Medium,Level court public drive point.,"Level 43, West Wing",0,0,Equipment Failure,Indicate black government visit fear rock.,Closed,—,2024-01-05T11:07:00,2024-01-05T11:07:00,system@alrashdeng.ae,1,True,—
INC-60E0AEE7,PRJ-012,2024-07-31,First Aid,Medium,How maybe nature serious second receive what.,"Level 26, East Wing",1,0,Unsafe Act,Whom even economy thus effort affect early very.,Open,—,2024-07-31T10:06:00,2024-07-31T10:06:00,system@alrashdeng.ae,1,True,—
INC-5C37CF51,PRJ-012,2025-07-18,First Aid,Low,Minute interview religious indicate.,"Level 48, South Wing",1,0,Lack of Training,Director feel another no.,Closed,—,2025-07-18T10:45:00,2025-07-18T10:45:00,system@alrashdeng.ae,1,True,—
INC-DE6B7247,PRJ-012,2024-12-23,First Aid,Low,Name name building often.,"Level 21, West Wing",1,0,Lack of Training,Environmental inside attention career strategy.,Closed,—,2024-12-23T15:52:00,2024-12-23T15:52:00,system@alrashdeng.ae,1,True,—
INC-9A3B5491,PRJ-012,2025-12-15,Near Miss,Low,Place particular southern before pull.,"Level 29, North Wing",0,0,Unsafe Condition,Civil son baby Democrat.,Closed,—,2025-12-15T07:29:00,2025-12-15T07:29:00,system@alrashdeng.ae,1,True,—
