document_id,project_id,document_type,document_number,title,revision,created_date,created_by_emp,status,discipline,file_path,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
DOC-DF1930D0,PRJ-001,Inspection Request,INS-001-150,Opportunity compare news,R0,2025-01-11,EMP-0126,Approved,HSE,//server/projects/PRJ-001/Inspection Request/FShyOF.pdf,—,2025-01-11T07:26:00,2025-01-11T07:26:00,system@alrashdeng.ae,1,True,—
DOC-9D7ACB84,PRJ-001,Method Statement,MET-001-778,Green thus concern ten politics Mr,R0,2024-03-07,EMP-0124,Superseded,Civil,//server/projects/PRJ-001/Method Statement/rpLYLB.pdf,—,2024-03-07T10:54:00,2024-03-07T10:54:00,system@alrashdeng.ae,1,True,—
DOC-1E760A79,PRJ-001,Inspection Request,INS-001-999,Job culture describe third happy,R2,2025-03-30,EMP-0122,Superseded,Architectural,//server/projects/PRJ-001/Inspection Request/ocmUxQ.pdf,—,2025-03-30T09:49:00,2025-03-30T09:49:00,system@alrashdeng.ae,1,True,—
DOC-2F975CB6,PRJ-001,Progress Report,PRO-001-631,Mean paper image draw,R1,2024-04-16,EMP-0122,Approved,MEP,//server/projects/PRJ-001/Progress Report/wFmWtX.pdf,—,2024-04-16T12:04:00,2024-04-16T12:04:00,system@alrashdeng.ae,1,True,—
DOC-C80B75AE,PRJ-001,Progress Report,PRO-001-221,How water college,R2,2025-07-29,EMP-0124,Draft,Structural,//server/projects/PRJ-001/Progress Report/XgLCvp.pdf,—,2025-07-29T07:51:00,2025-07-29T07:51:00,system@alrashdeng.ae,1,True,—
DOC-D23D4D2A,PRJ-001,Shop Drawing,SHO-001-852,Allow watch which risk,R1,2024-06-03,EMP-0123,Draft,Civil,//server/projects/PRJ-001/Shop Drawing/jYpxbn.pdf,—,2024-06-03T13:42:00,2024-06-03T13:42:00,system@alrashdeng.ae,1,True,—
DOC-DB9D42A8,PRJ-001,NCR,NCR-001-268,Every music think his child,R1,2024-06-17,EMP-0128,Approved,MEP,//server/projects/PRJ-001/NCR/aMkCcF.pdf,—,2024-06-17T14:27:00,2024-06-17T14:27:00,system@alrashdeng.ae,1,True,—
DOC-A72474C3,PRJ-001,Material Submittal,MAT-001-688,Mother ball since action small,R3,2025-01-30,EMP-0119,Approved,Civil,//server/projects/PRJ-001/Material Submittal/kMWlqY.pdf,—,2025-01-30T07:18:00,2025-01-30T07:18:00,system@alrashdeng.ae,1,True,—
DOC-0C28E516,PRJ-001,Test Report,TES-001-352,Cut soon number information laugh,R0,2024-03-31,EMP-0119,Draft,MEP,//server/projects/PRJ-001/Test Report/MlYPoP.pdf,—,2024-03-31T09:32:00,2024-03-31T09:32:00,system@alrashdeng.ae,1,True,—
DOC-55840CAA,PRJ-001,Site Instruction,SIT-001-813,Buy increase mean,R0,2026-01-08,EMP-0128,Superseded,Structural,//server/projects/PRJ-001/Site Instruction/npYfCZ.pdf,—,2026-01-08T10:05:00,2026-01-08T10:05:00,system@alrashdeng.ae,1,True,—
DOC-7CE20AE4,PRJ-001,Variation Order,VAR-001-828,Space statement other,R2,2025-07-02,EMP-0127,Draft,Civil,//server/projects/PRJ-001/Variation Order/UecAue.pdf,—,2025-07-02T11:28:00,2025-07-02T11:28:00,system@alrashdeng.ae,1,True,—
DOC-4D6E808B,PRJ-001,Progress Report,PRO-001-961,Student network past part feel,R2,2025-08-05,EMP-0129,Superseded,Structural,//server/projects/PRJ-001/Progress Report/fBsVNl.pdf,—,2025-08-05T11:55:00,2025-08-05T11:55:00,system@alrashdeng.ae,1,True,—
DOC-581BE732,PRJ-001,RFI,RFI-001-654,Decide boy expert call two argue,R0,2024-12-11,EMP-0126,Approved,Architectural,//server/projects/PRJ-001/RFI/jgJgUl.pdf,—,2024-12-11T09:25:00,2024-12-11T09:25:00,system@alrashdeng.ae,1,True,—
DOC-DC96FB14,PRJ-001,RFI,RFI-001-963,Great party accept raise instead night,R0,2025-04-04,EMP-0130,Approved,HSE,//server/projects/PRJ-001/RFI/CnMvzO.pdf,—,2025-04-04T11:59:00,2025-04-04T11:59:00,system@alrashdeng.ae,1,True,—
DOC-C58DA4F0,PRJ-001,NCR,NCR-001-713,Benefit coach light radio many entire,R0,2025-08-17,EMP-0126,Draft,Civil,//server/projects/PRJ-001/NCR/YdhzXV.pdf,—,2025-08-17T13:05:00,2025-08-17T13:05:00,system@alrashdeng.ae,1,True,—
DOC-D90C4F01,PRJ-001,Material Submittal,MAT-001-204,Today rather land Mrs herself determine,R3,2025-03-11,EMP-0124,Superseded,HSE,//server/projects/PRJ-001/Material Submittal/ykAlJC.pdf,—,2025-03-11T14:44:00,2025-03-11T14:44:00,system@alrashdeng.ae,1,True,—
DOC-777EEF5C,PRJ-001,As-Built Drawing,AS--001-861,Six because trade put car,R1,2024-05-15,EMP-0126,Approved,Civil,//server/projects/PRJ-001/As-Built Drawing/efRjgF.pdf,—,2024-05-15T11:24:00,2024-05-15T11:24:00,system@alrashdeng.ae,1,True,—
DOC-B756B0A6,PRJ-001,Method Statement,MET-001-352,Program between suddenly,R0,2025-10-25,EMP-0119,For Review,MEP,//server/projects/PRJ-001/Method Statement/Qajunk.pdf,—,2025-10-25T08:53:00,2025-10-25T08:53:00,system@alrashdeng.ae,1,True,—
DOC-041C0414,PRJ-001,Meeting Minutes,MEE-001-975,One operation budget marriage agree,R1,2025-09-18,EMP-0123,For Review,MEP,//server/projects/PRJ-001/Meeting Minutes/WjVzxd.pdf,—,2025-09-18T13:27:00,2025-09-18T13:27:00,system@alrashdeng.ae,1,True,—
DOC-E4B61DA1,PRJ-001,NCR,NCR-001-236,Value purpose painting,R2,2024-10-14,EMP-0127,Superseded,Architectural,//server/projects/PRJ-001/NCR/gSoxFH.pdf,—,2024-10-14T10:00:00,2024-10-14T10:00:00,system@alrashdeng.ae,1,True,—
DOC-B154DD69,PRJ-001,Variation Order,VAR-001-876,Create official bank before show scientist,R0,2024-05-08,EMP-0124,Draft,Civil,//server/projects/PRJ-001/Variation Order/HByOYN.pdf,—,2024-05-08T11:45:00,2024-05-08T11:45:00,system@alrashdeng.ae,1,True,—
DOC-FCC67DF4,PRJ-001,Material Submittal,MAT-001-510,North technology surface,R1,2026-02-10,EMP-0124,Approved,MEP,//server/projects/PRJ-001/Material Submittal/YTeBGU.pdf,—,2026-02-10T16:00:00,2026-02-10T16:00:00,system@alrashdeng.ae,1,True,—
DOC-580F7BAB,PRJ-001,Method Statement,MET-001-380,Will party remember,R2,2024-01-24,EMP-0127,Approved,MEP,//server/projects/PRJ-001/Method Statement/FCkIzB.pdf,—,2024-01-24T11:40:00,2024-01-24T11:40:00,system@alrashdeng.ae,1,True,—
DOC-5A425146,PRJ-001,NCR,NCR-001-147,Visit across ever animal,R0,2024-07-03,EMP-0130,Superseded,MEP,//server/projects/PRJ-001/NCR/YhTKsS.pdf,—,2024-07-03T08:47:00,2024-07-03T08:47:00,system@alrashdeng.ae,1,True,—
DOC-B882175F,PRJ-001,Meeting Minutes,MEE-001-687,Employee crime structure force,R0,2025-12-28,EMP-0123,Draft,HSE,//server/projects/PRJ-001/Meeting Minutes/XtltBC.pdf,—,2025-12-28T11:28:00,2025-12-28T11:28:00,system@alrashdeng.ae,1,True,—
DOC-E6EAB9D7,PRJ-001,Test Report,TES-001-889,Worker finish ever major,R0,2025-08-04,EMP-0123,Approved,Structural,//server/projects/PRJ-001/Test Report/mEeQiu.pdf,—,2025-08-04T11:33:00,2025-08-04T11:33:00,system@alrashdeng.ae,1,True,—
DOC-E77685C5,PRJ-001,Meeting Minutes,MEE-001-833,Base action edge policy specific spring,R0,2024-10-30,EMP-0128,Draft,HSE,//server/projects/PRJ-001/Meeting Minutes/pXgGit.pdf,—,2024-10-30T17:42:00,2024-10-30T17:42:00,system@alrashdeng.ae,1,True,—
DOC-78DFEB00,PRJ-001,Site Instruction,SIT-001-332,Big me between,R0,2025-06-29,EMP-0124,For Review,HSE,//server/projects/PRJ-001/Site Instruction/ZwOqni.pdf,—,2025-06-29T08:33:00,2025-06-29T08:33:00,system@alrashdeng.ae,1,True,—
DOC-D296FF90,PRJ-001,NCR,NCR-001-176,Inside born amount,R1,2024-02-16,EMP-0129,Approved,Structural,//server/projects/PRJ-001/NCR/DNvAFW.pdf,—,2024-02-16T08:58:00,2024-02-16T08:58:00,system@alrashdeng.ae,1,True,—
DOC-A29D4EBD,PRJ-001,Method Statement,MET-001-409,Into similar attorney read animal,R0,2026-01-29,EMP-0130,Draft,HSE,//server/projects/PRJ-001/Method Statement/ovGnsk.pdf,—,2026-01-29T08:22:00,2026-01-29T08:22:00,system@alrashdeng.ae,1,True,—
DOC-24A898F4,PRJ-001,Inspection Request,INS-001-786,Site our benefit president team,R1,2024-04-08,EMP-0123,For Review,Architectural,//server/projects/PRJ-001/Inspection Request/OkvqxH.pdf,—,2024-04-08T15:42:00,2024-04-08T15:42:00,system@alrashdeng.ae,1,True,—
DOC-6E615958,PRJ-001,Progress Report,PRO-001-756,West key interest,R0,2024-12-04,EMP-0119,Superseded,Civil,//server/projects/PRJ-001/Progress Report/KkCTKc.pdf,—,2024-12-04T12:37:00,2024-12-04T12:37:00,system@alrashdeng.ae,1,True,—
DOC-1294DEC9,PRJ-001,RFI,RFI-001-290,Think break only executive,R1,2026-01-29,EMP-0127,Superseded,HSE,//server/projects/PRJ-001/RFI/BjpZHp.pdf,—,2026-01-29T11:22:00,2026-01-29T11:22:00,system@alrashdeng.ae,1,True,—
DOC-93F12416,PRJ-001,Variation Order,VAR-001-230,Garden magazine at,R1,2025-06-19,EMP-0130,Superseded,MEP,//server/projects/PRJ-001/Variation Order/rVgjbs.pdf,—,2025-06-19T09:47:00,2025-06-19T09:47:00,system@alrashdeng.ae,1,True,—
DOC-546278E4,PRJ-001,Site Instruction,SIT-001-117,Wonder worker idea piece,R1,2024-12-03,EMP-0119,Superseded,MEP,//server/projects/PRJ-001/Site Instruction/ymUjfX.pdf,—,2024-12-03T07:51:00,2024-12-03T07:51:00,system@alrashdeng.ae,1,True,—
DOC-8082E5F3,PRJ-001,Inspection Request,INS-001-925,Military a describe,R1,2026-01-24,EMP-0126,For Review,HSE,//server/projects/PRJ-001/Inspection Request/zPQugf.pdf,—,2026-01-24T12:04:00,2026-01-24T12:04:00,system@alrashdeng.ae,1,True,—
DOC-75AD9FE0,PRJ-001,Progress Report,PRO-001-869,Enter like he build,R0,2026-01-21,EMP-0122,Superseded,Civil,//server/projects/PRJ-001/Progress Report/tHlWfV.pdf,—,2026-01-21T16:45:00,2026-01-21T16:45:00,system@alrashdeng.ae,1,True,—
DOC-C88E9392,PRJ-001,Progress Report,PRO-001-891,Key along play especially during type,R3,2025-01-22,EMP-0128,Draft,Structural,//server/projects/PRJ-001/Progress Report/pUXxCr.pdf,—,2025-01-22T14:47:00,2025-01-22T14:47:00,system@alrashdeng.ae,1,True,—
DOC-EB197E9D,PRJ-001,Test Report,TES-001-316,Choose difficult discussion,R1,2023-12-24,EMP-0129,Approved,HSE,//server/projects/PRJ-001/Test Report/QdbWeM.pdf,—,2023-12-24T12:59:00,2023-12-24T12:59:00,system@alrashdeng.ae,1,True,—
DOC-BD8916C4,PRJ-001,Meeting Minutes,MEE-001-294,Three month perhaps central message teacher,R2,2025-08-31,EMP-0124,For Review,Architectural,//server/projects/PRJ-001/Meeting Minutes/iccwvb.pdf,—,2025-08-31T15:18:00,2025-08-31T15:18:00,system@alrashdeng.ae,1,True,—
DOC-175FA689,PRJ-001,Inspection Request,INS-001-604,Just reflect happy partner success her,R2,2025-02-26,EMP-0122,Approved,MEP,//server/projects/PRJ-001/Inspection Request/Aenkjg.pdf,—,2025-02-26T16:05:00,2025-02-26T16:05:00,system@alrashdeng.ae,1,True,—
DOC-0394AF8E,PRJ-001,Material Submittal,MAT-001-419,Bank concern line result about law,R0,2024-11-30,EMP-0117,Superseded,Architectural,//server/projects/PRJ-001/Material Submittal/psWBiU.pdf,—,2024-11-30T15:15:00,2024-11-30T15:15:00,system@alrashdeng.ae,1,True,—
DOC-38618EDF,PRJ-001,Method Statement,MET-001-495,It surface security effect accept,R0,2024-09-10,EMP-0127,Approved,MEP,//server/projects/PRJ-001/Method Statement/lzHbop.pdf,—,2024-09-10T11:21:00,2024-09-10T11:21:00,system@alrashdeng.ae,1,True,—
DOC-74BFAF72,PRJ-001,Site Instruction,SIT-001-647,Rest government adult night commercial,R3,2025-10-13,EMP-0128,Superseded,Architectural,//server/projects/PRJ-001/Site Instruction/pnSKxg.pdf,—,2025-10-13T13:35:00,2025-10-13T13:35:00,system@alrashdeng.ae,1,True,—
DOC-04CD2E67,PRJ-001,NCR,NCR-001-552,End surface baby,R1,2025-01-01,EMP-0128,Superseded,MEP,//server/projects/PRJ-001/NCR/lYSjiI.pdf,—,2025-01-01T10:17:00,2025-01-01T10:17:00,system@alrashdeng.ae,1,True,—
DOC-2129E18F,PRJ-001,Shop Drawing,SHO-001-461,When relationship go chance change,R1,2026-02-19,EMP-0122,Superseded,Civil,//server/projects/PRJ-001/Shop Drawing/rQXHzm.pdf,—,2026-02-19T16:41:00,2026-02-19T16:41:00,system@alrashdeng.ae,1,True,—
DOC-B69A04F8,PRJ-001,Variation Order,VAR-001-150,Like best heavy but seven,R2,2025-04-12,EMP-0124,Approved,HSE,//server/projects/PRJ-001/Variation Order/chHaXU.pdf,—,2025-04-12T10:11:00,2025-04-12T10:11:00,system@alrashdeng.ae,1,True,—
DOC-B07192C4,PRJ-001,Method Statement,MET-001-573,Beautiful contain age,R0,2026-01-04,EMP-0126,Superseded,Architectural,//server/projects/PRJ-001/Method Statement/oTIpwi.pdf,—,2026-01-04T14:05:00,2026-01-04T14:05:00,system@alrashdeng.ae,1,True,—
DOC-14C61137,PRJ-001,RFI,RFI-001-778,Bank dark story travel then,R0,2025-01-20,EMP-0126,For Review,Architectural,//server/projects/PRJ-001/RFI/NSyFiW.pdf,—,2025-01-20T17:02:00,2025-01-20T17:02:00,system@alrashdeng.ae,1,True,—
DOC-1456E825,PRJ-001,As-Built Drawing,AS--001-148,Theory wide choice enough,R1,2024-12-23,EMP-0130,Superseded,MEP,//server/projects/PRJ-001/As-Built Drawing/ZGXCYH.pdf,—,2024-12-23T13:41:00,2024-12-23T13:41:00,system@alrashdeng.ae,1,True,—
DOC-F4EA1975,PRJ-001,Progress Report,PRO-001-864,Green listen clearly government,R0,2024-02-09,EMP-0128,Superseded,HSE,//server/projects/PRJ-001/Progress Report/QpFZac.pdf,—,2024-02-09T17:42:00,2024-02-09T17:42:00,system@alrashdeng.ae,1,True,—
DOC-2881D354,PRJ-001,Shop Drawing,SHO-001-938,Mother artist yourself hot,R1,2025-01-28,EMP-0123,Approved,Civil,//server/projects/PRJ-001/Shop Drawing/lYBUmP.pdf,—,2025-01-28T14:47:00,2025-01-28T14:47:00,system@alrashdeng.ae,1,True,—
DOC-C5E9F546,PRJ-001,Test Report,TES-001-378,Quality sister machine land,R3,2024-06-15,EMP-0123,Approved,HSE,//server/projects/PRJ-001/Test Report/pPykns.pdf,—,2024-06-15T14:22:00,2024-06-15T14:22:00,system@alrashdeng.ae,1,True,—
DOC-C568848C,PRJ-001,Test Report,TES-001-140,Mrs into school,R0,2024-05-06,EMP-0122,Superseded,HSE,//server/projects/PRJ-001/Test Report/zqCUvn.pdf,—,2024-05-06T07:55:00,2024-05-06T07:55:00,system@alrashdeng.ae,1,True,—
DOC-C5CF08E3,PRJ-001,Inspection Request,INS-001-521,Daughter capital after late west,R0,2024-04-18,EMP-0126,Superseded,Civil,//server/projects/PRJ-001/Inspection Request/mZyvlW.pdf,—,2024-04-18T11:11:00,2024-04-18T11:11:00,system@alrashdeng.ae,1,True,—
DOC-81AFA603,PRJ-001,Progress Report,PRO-001-166,Throw measure my red win whose,R2,2025-10-28,EMP-0127,Superseded,Architectural,//server/projects/PRJ-001/Progress Report/ucxWLk.pdf,—,2025-10-28T08:56:00,2025-10-28T08:56:00,system@alrashdeng.ae,1,True,—
DOC-EBD2A60E,PRJ-001,Site Instruction,SIT-001-301,East art possible stage,R0,2025-06-17,EMP-0128,Approved,Structural,//server/projects/PRJ-001/Site Instruction/NhbriJ.pdf,—,2025-06-17T07:33:00,2025-06-17T07:33:00,system@alrashdeng.ae,1,True,—
DOC-7C7C6D3E,PRJ-001,Inspection Request,INS-001-573,Yes look responsibility change build suddenly,R3,2025-09-13,EMP-0130,Draft,HSE,//server/projects/PRJ-001/Inspection Request/jWJlnb.pdf,—,2025-09-13T15:15:00,2025-09-13T15:15:00,system@alrashdeng.ae,1,True,—
DOC-E646DBEE,PRJ-001,Site Instruction,SIT-001-181,Hand pattern newspaper beautiful,R1,2025-09-07,EMP-0124,Approved,MEP,//server/projects/PRJ-001/Site Instruction/XkhNko.pdf,—,2025-09-07T16:42:00,2025-09-07T16:42:00,system@alrashdeng.ae,1,True,—
DOC-CECE8972,PRJ-001,Material Submittal,MAT-001-719,End huge around realize network,R1,2025-07-30,EMP-0122,Draft,MEP,//server/projects/PRJ-001/Material Submittal/qvpZjI.pdf,—,2025-07-30T08:07:00,2025-07-30T08:07:00,system@alrashdeng.ae,1,True,—
DOC-EC39571A,PRJ-001,Inspection Request,INS-001-690,Half song member south,R0,2024-07-18,EMP-0129,Superseded,Structural,//server/projects/PRJ-001/Inspection Request/SHqDXV.pdf,—,2024-07-18T11:08:00,2024-07-18T11:08:00,system@alrashdeng.ae,1,True,—
DOC-1C812DDB,PRJ-001,Progress Report,PRO-001-780,Part ability good tell since,R1,2024-03-14,EMP-0129,Draft,Civil,//server/projects/PRJ-001/Progress Report/otwoct.pdf,—,2024-03-14T15:15:00,2024-03-14T15:15:00,system@alrashdeng.ae,1,True,—
DOC-DE326E6E,PRJ-001,Shop Drawing,SHO-001-156,World job religious staff simple,R3,2025-07-18,EMP-0117,Approved,Architectural,//server/projects/PRJ-001/Shop Drawing/jBYRlw.pdf,—,2025-07-18T10:57:00,2025-07-18T10:57:00,system@alrashdeng.ae,1,True,—
DOC-5BE576AC,PRJ-001,Variation Order,VAR-001-983,Four surface speak produce form probably,R0,2025-08-22,EMP-0124,For Review,Structural,//server/projects/PRJ-001/Variation Order/GfaJuC.pdf,—,2025-08-22T14:25:00,2025-08-22T14:25:00,system@alrashdeng.ae,1,True,—
DOC-0CA4AFE7,PRJ-001,Inspection Request,INS-001-951,Figure travel maybe,R0,2025-10-06,EMP-0123,Approved,Structural,//server/projects/PRJ-001/Inspection Request/GLmrfM.pdf,—,2025-10-06T13:56:00,2025-10-06T13:56:00,system@alrashdeng.ae,1,True,—
DOC-AB1BCA72,PRJ-001,RFI,RFI-001-380,Explain environment candidate accept imagine,R0,2025-04-11,EMP-0123,For Review,MEP,//server/projects/PRJ-001/RFI/JiqTsV.pdf,—,2025-04-11T15:50:00,2025-04-11T15:50:00,system@alrashdeng.ae,1,True,—
DOC-E6C84DD4,PRJ-001,Meeting Minutes,MEE-001-451,Small especially too site eight,R0,2025-02-17,EMP-0128,Approved,HSE,//server/projects/PRJ-001/Meeting Minutes/IwdzDQ.pdf,—,2025-02-17T09:52:00,2025-02-17T09:52:00,system@alrashdeng.ae,1,True,—
DOC-F6BA93D5,PRJ-001,Site Instruction,SIT-001-893,Student entire question use far,R0,2025-02-01,EMP-0128,Approved,MEP,//server/projects/PRJ-001/Site Instruction/wZLMjq.pdf,—,2025-02-01T10:01:00,2025-02-01T10:01:00,system@alrashdeng.ae,1,True,—
DOC-F45ED188,PRJ-001,Test Report,TES-001-237,Time itself where,R0,2025-03-01,EMP-0127,Draft,Structural,//server/projects/PRJ-001/Test Report/QoZroo.pdf,—,2025-03-01T08:27:00,2025-03-01T08:27:00,system@alrashdeng.ae,1,True,—
DOC-1A8A78E5,PRJ-001,NCR,NCR-001-138,Necessary risk source bad,R1,2026-01-27,EMP-0128,Approved,Architectural,//server/projects/PRJ-001/NCR/dRCKeb.pdf,—,2026-01-27T08:31:00,2026-01-27T08:31:00,system@alrashdeng.ae,1,True,—
DOC-40FF550B,PRJ-001,Material Submittal,MAT-001-942,Theory few market example radio health,R1,2025-09-21,EMP-0130,For Review,Civil,//server/projects/PRJ-001/Material Submittal/Ylwyzk.pdf,—,2025-09-21T12:53:00,2025-09-21T12:53:00,system@alrashdeng.ae,1,True,—
DOC-351E624B,PRJ-001,As-Built Drawing,AS--001-788,Reality tough tough,R1,2025-04-20,EMP-0128,Draft,HSE,//server/projects/PRJ-001/As-Built Drawing/wfZolF.pdf,—,2025-04-20T15:35:00,2025-04-20T15:35:00,system@alrashdeng.ae,1,True,—
DOC-530F0B5B,PRJ-001,Variation Order,VAR-001-357,Visit however close American,R1,2023-12-22,EMP-0124,Approved,Structural,//server/projects/PRJ-001/Variation Order/GyYhvH.pdf,—,2023-12-22T10:07:00,2023-12-22T10:07:00,system@alrashdeng.ae,1,True,—
DOC-54C6710E,PRJ-001,Meeting Minutes,MEE-001-224,Live country customer,R0,2026-01-21,EMP-0124,Draft,MEP,//server/projects/PRJ-001/Meeting Minutes/WvMRDu.pdf,—,2026-01-21T10:06:00,2026-01-21T10:06:00,system@alrashdeng.ae,1,True,—
DOC-5C7B28EF,PRJ-001,Inspection Request,INS-001-202,Often happen decade fill beautiful,R2,2024-03-26,EMP-0130,Approved,Architectural,//server/projects/PRJ-001/Inspection Request/DdDEwP.pdf,—,2024-03-26T13:47:00,2024-03-26T13:47:00,system@alrashdeng.ae,1,True,—
DOC-3823B9C1,PRJ-001,Meeting Minutes,MEE-001-325,They report consider center avoid,R0,2024-12-27,EMP-0127,Approved,Civil,//server/projects/PRJ-001/Meeting Minutes/LCRciu.pdf,—,2024-12-27T11:22:00,2024-12-27T11:22:00,system@alrashdeng.ae,1,True,—
DOC-6126DFD2,PRJ-001,Progress Report,PRO-001-545,Animal scene deal in,R1,2026-02-03,EMP-0129,Approved,MEP,//server/projects/PRJ-001/Progress Report/nBaxEt.pdf,—,2026-02-03T10:55:00,2026-02-03T10:55:00,system@alrashdeng.ae,1,True,—
DOC-70B660D1,PRJ-001,RFI,RFI-001-629,Whole anyone beat analysis forget,R3,2025-01-01,EMP-0127,Approved,Architectural,//server/projects/PRJ-001/RFI/hfQkFU.pdf,—,2025-01-01T14:51:00,2025-01-01T14:51:00,system@alrashdeng.ae,1,True,—
DOC-826A633B,PRJ-001,Progress Report,PRO-001-975,Simple century within PM president,R3,2024-12-17,EMP-0122,For Review,Structural,//server/projects/PRJ-001/Progress Report/ZmRQwJ.pdf,—,2024-12-17T07:12:00,2024-12-17T07:12:00,system@alrashdeng.ae,1,True,—
DOC-B4B2A71D,PRJ-001,Shop Drawing,SHO-001-872,Smile candidate medical,R1,2025-12-09,EMP-0126,Superseded,Structural,//server/projects/PRJ-001/Shop Drawing/IQuTvc.pdf,—,2025-12-09T15:57:00,2025-12-09T15:57:00,system@alrashdeng.ae,1,True,—
DOC-DAFE2C7E,PRJ-001,Meeting Minutes,MEE-001-610,Spend read kid kid,R0,2025-12-06,EMP-0126,Approved,MEP,//server/projects/PRJ-001/Meeting Minutes/JseebO.pdf,—,2025-12-06T13:32:00,2025-12-06T13:32:00,system@alrashdeng.ae,1,True,—
DOC-97CB0CE6,PRJ-001,Shop Drawing,SHO-001-260,Site her explain back,R3,2024-12-03,EMP-0117,For Review,Architectural,//server/projects/PRJ-001/Shop Drawing/fFhoKm.pdf,—,2024-12-03T14:58:00,2024-12-03T14:58:00,system@alrashdeng.ae,1,True,—
DOC-EB45C968,PRJ-001,Test Report,TES-001-279,Week guess carry something officer per,R3,2025-02-26,EMP-0123,For Review,Civil,//server/projects/PRJ-001/Test Report/jYHhkj.pdf,—,2025-02-26T09:10:00,2025-02-26T09:10:00,system@alrashdeng.ae,1,True,—
DOC-AD676CED,PRJ-001,Variation Order,VAR-001-661,Close production day close election box,R0,2025-02-07,EMP-0129,Draft,Civil,//server/projects/PRJ-001/Variation Order/ryaSaE.pdf,—,2025-02-07T15:35:00,2025-02-07T15:35:00,system@alrashdeng.ae,1,True,—
